time,pubno
2024/01/08 15:25:54.361,0000
2024/01/08 15:25:54.375,0001
2024/01/08 15:25:54.387,0002
2024/01/08 15:25:54.398,0003
2024/01/08 15:25:54.409,0004
2024/01/08 15:25:54.420,0005
2024/01/08 15:25:54.431,0006
2024/01/08 15:25:54.442,0007
2024/01/08 15:25:54.453,0008
2024/01/08 15:25:54.464,0009
2024/01/08 15:25:54.475,0010
2024/01/08 15:25:54.485,0011
2024/01/08 15:25:54.496,0012
2024/01/08 15:25:54.507,0013
2024/01/08 15:25:54.518,0014
2024/01/08 15:25:54.528,0015
2024/01/08 15:25:54.539,0016
2024/01/08 15:25:54.549,0017
2024/01/08 15:25:54.560,0018
2024/01/08 15:25:54.571,0019
2024/01/08 15:25:54.585,0020
2024/01/08 15:25:54.596,0021
2024/01/08 15:25:54.607,0022
2024/01/08 15:25:54.618,0023
2024/01/08 15:25:54.628,0024
2024/01/08 15:25:54.639,0025
2024/01/08 15:25:54.650,0026
2024/01/08 15:25:54.661,0027
2024/01/08 15:25:54.672,0028
2024/01/08 15:25:54.683,0029
2024/01/08 15:25:54.694,0030
2024/01/08 15:25:54.705,0031
2024/01/08 15:25:54.715,0032
2024/01/08 15:25:54.726,0033
2024/01/08 15:25:54.737,0034
2024/01/08 15:25:54.747,0035
2024/01/08 15:25:54.758,0036
2024/01/08 15:25:54.769,0037
2024/01/08 15:25:54.780,0038
2024/01/08 15:25:54.791,0039
2024/01/08 15:25:54.802,0040
2024/01/08 15:25:54.812,0041
2024/01/08 15:25:54.823,0042
2024/01/08 15:25:54.834,0043
2024/01/08 15:25:54.845,0044
2024/01/08 15:25:54.856,0045
2024/01/08 15:25:54.867,0046
2024/01/08 15:25:54.877,0047
2024/01/08 15:25:54.888,0048
2024/01/08 15:25:54.899,0049
2024/01/08 15:25:54.910,0050
2024/01/08 15:25:54.921,0051
2024/01/08 15:25:54.932,0052
2024/01/08 15:25:54.943,0053
2024/01/08 15:25:54.954,0054
2024/01/08 15:25:54.965,0055
2024/01/08 15:25:54.976,0056
2024/01/08 15:25:54.987,0057
2024/01/08 15:25:54.998,0058
2024/01/08 15:25:55.009,0059
2024/01/08 15:25:55.020,0060
2024/01/08 15:25:55.030,0061
2024/01/08 15:25:55.041,0062
2024/01/08 15:25:55.053,0063
2024/01/08 15:25:55.064,0064
2024/01/08 15:25:55.075,0065
2024/01/08 15:25:55.086,0066
2024/01/08 15:25:55.097,0067
2024/01/08 15:25:55.108,0068
2024/01/08 15:25:55.119,0069
2024/01/08 15:25:55.130,0070
2024/01/08 15:25:55.141,0071
2024/01/08 15:25:55.151,0072
2024/01/08 15:25:55.162,0073
2024/01/08 15:25:55.173,0074
2024/01/08 15:25:55.183,0075
2024/01/08 15:25:55.194,0076
2024/01/08 15:25:55.204,0077
2024/01/08 15:25:55.215,0078
2024/01/08 15:25:55.226,0079
2024/01/08 15:25:55.237,0080
2024/01/08 15:25:55.247,0081
2024/01/08 15:25:55.258,0082
2024/01/08 15:25:55.268,0083
2024/01/08 15:25:55.279,0084
2024/01/08 15:25:55.289,0085
2024/01/08 15:25:55.300,0086
2024/01/08 15:25:55.311,0087
2024/01/08 15:25:55.321,0088
2024/01/08 15:25:55.332,0089
2024/01/08 15:25:55.342,0090
2024/01/08 15:25:55.353,0091
2024/01/08 15:25:55.364,0092
2024/01/08 15:25:55.374,0093
2024/01/08 15:25:55.385,0094
2024/01/08 15:25:55.396,0095
2024/01/08 15:25:55.407,0096
2024/01/08 15:25:55.418,0097
2024/01/08 15:25:55.429,0098
2024/01/08 15:25:55.440,0099
2024/01/08 15:25:55.451,0100
2024/01/08 15:25:55.461,0101
2024/01/08 15:25:55.472,0102
2024/01/08 15:25:55.483,0103
2024/01/08 15:25:55.494,0104
2024/01/08 15:25:55.505,0105
2024/01/08 15:25:55.516,0106
2024/01/08 15:25:55.527,0107
2024/01/08 15:25:55.537,0108
2024/01/08 15:25:55.548,0109
2024/01/08 15:25:55.559,0110
