時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧
2023-05-16 16:05:18.054,1,82019543,No Relay,83,147,2920
2023-05-16 16:05:20.836,1,82019543,No Relay,84,180,2920
2023-05-16 16:05:26.102,1,82019543,No Relay,86,177,2920
2023-05-16 16:05:28.696,1,82019543,No Relay,87,177,2920
2023-05-16 16:05:30.118,1,82019F0C,No Relay,2,159,3140
2023-05-16 16:05:31.306,1,82019543,No Relay,88,171,2920
2023-05-16 16:05:32.838,1,82019F0C,No Relay,3,183,3140
2023-05-16 16:05:35.354,1,82019F0C,No Relay,4,171,3150
2023-05-16 16:05:35.573,1,82019EBB,No Relay,2,159,2840
2023-05-16 16:05:37.807,1,82019F0C,No Relay,5,168,3150
2023-05-16 16:05:38.010,1,82019EBB,No Relay,3,150,2840
2023-05-16 16:05:38.198,1,82019CF3,No Relay,1,132,2690
2023-05-16 16:05:39.464,1,82019543,No Relay,91,177,2920
2023-05-16 16:05:40.229,1,82019F0C,No Relay,6,162,3140
2023-05-16 16:05:40.527,1,82019CF3,No Relay,2,159,2690
2023-05-16 16:05:40.730,1,82019EBB,No Relay,4,168,2840
2023-05-16 16:05:41.917,1,82019543,No Relay,92,168,2920
2023-05-16 16:05:42.120,1,82019A5C,No Relay,1,192,3050
2023-05-16 16:05:42.839,1,82019F0C,No Relay,7,168,3150
2023-05-16 16:05:43.183,1,82019EBB,No Relay,5,159,2850
2023-05-16 16:05:43.386,1,82019CF3,No Relay,3,159,2695
2023-05-16 16:05:44.683,1,82019543,No Relay,93,168,2920
2023-05-16 16:05:44.871,1,82019A5C,No Relay,2,168,3060
2023-05-16 16:05:45.605,1,82019F0C,No Relay,8,168,3150
2023-05-16 16:05:45.824,1,82019CF3,No Relay,4,156,2695
2023-05-16 16:05:46.012,1,82019EBB,No Relay,6,174,2850
2023-05-16 16:05:47.293,1,82019A5C,No Relay,3,159,3060
2023-05-16 16:05:48.012,1,82019F0C,No Relay,9,171,3150
2023-05-16 16:05:48.793,1,82019EBB,No Relay,7,168,2850
2023-05-16 16:05:49.793,1,82019543,No Relay,95,183,2920
2023-05-16 16:05:49.997,1,82019A5C,No Relay,4,159,3060
