時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧
2023-05-16 16:05:51.294,1,82019EBB,No Relay,8,168,2850
2023-05-16 16:05:51.513,1,82019CF3,No Relay,6,153,2690
2023-05-16 16:05:52.622,1,82019543,No Relay,96,180,2920
2023-05-16 16:05:54.013,1,82019EBB,No Relay,9,168,2840
2023-05-16 16:05:54.216,1,82019CF3,No Relay,7,156,2690
2023-05-16 16:05:55.107,1,82019543,No Relay,97,177,2920
2023-05-16 16:05:55.873,1,82019F0C,No Relay,12,168,3150
2023-05-16 16:05:56.654,1,82019EBB,No Relay,10,180,2850
2023-05-16 16:05:56.857,1,82019CF3,No Relay,8,168,2695
2023-05-16 16:05:57.857,1,82019543,No Relay,98,192,2920
2023-05-16 16:05:58.060,1,82019A5C,No Relay,7,186,3060
2023-05-16 16:05:58.341,1,82019F0C,No Relay,13,204,3150
2023-05-16 16:05:59.357,1,82019EBB,No Relay,11,156,2850
2023-05-16 16:05:59.592,1,82019CF3,No Relay,9,156,2690
2023-05-16 16:06:00.357,1,82019A5C,No Relay,8,195,3060
2023-05-16 16:06:00.623,1,82019543,No Relay,99,150,2920
2023-05-16 16:06:01.123,1,82019F0C,No Relay,14,198,3150
2023-05-16 16:06:01.889,1,82019EBB,No Relay,12,120,2850
2023-05-16 16:06:02.092,1,82019CF3,No Relay,10,162,2695
2023-05-16 16:06:02.905,1,82019A5C,No Relay,9,159,3060
2023-05-16 16:06:03.342,1,82019543,No Relay,100,156,2910
2023-05-16 16:06:03.936,1,82019F0C,No Relay,15,186,3150
2023-05-16 16:06:04.483,1,82019CF3,No Relay,11,162,2700
2023-05-16 16:06:05.718,1,82019A5C,No Relay,10,183,3060
2023-05-16 16:06:06.499,1,82019F0C,No Relay,16,168,3150
2023-05-16 16:06:07.140,1,82019CF3,No Relay,12,177,2700
2023-05-16 16:06:07.390,1,82019EBB,No Relay,14,156,2850
2023-05-16 16:06:08.937,1,82019F0C,No Relay,17,168,3150
2023-05-16 16:06:09.578,1,82019CF3,No Relay,13,177,2695
2023-05-16 16:06:09.968,1,82019EBB,No Relay,15,159,2850
2023-05-16 16:06:10.875,1,82019A5C,No Relay,12,150,3060
2023-05-16 16:06:11.328,1,82019F0C,No Relay,18,171,3150
2023-05-16 16:06:12.422,1,82019CF3,No Relay,14,177,2690
2023-05-16 16:06:12.797,1,82019EBB,No Relay,16,111,2850
2023-05-16 16:06:13.360,1,82019A5C,No Relay,13,162,3070
2023-05-16 16:06:13.782,1,82019F0C,No Relay,19,174,3150
2023-05-16 16:06:14.923,1,82019CF3,No Relay,15,180,2695
2023-05-16 16:06:16.016,1,82019A5C,No Relay,14,159,3060
2023-05-16 16:06:16.298,1,82019543,No Relay,105,141,2910
2023-05-16 16:06:16.501,1,82019F0C,No Relay,20,192,3150
2023-05-16 16:06:17.720,1,82019CF3,No Relay,16,153,2690
2023-05-16 16:06:18.673,1,82019A5C,No Relay,15,90,3060
2023-05-16 16:06:19.001,1,82019F0C,No Relay,21,177,3150
2023-05-16 16:06:19.220,1,82019543,No Relay,106,171,2920
2023-05-16 16:06:20.220,1,82019CF3,No Relay,17,144,2695
2023-05-16 16:06:20.439,1,82019EBB,No Relay,19,99,2850
2023-05-16 16:06:21.455,1,82019A5C,No Relay,16,117,3070
2023-05-16 16:06:21.643,1,82019F0C,No Relay,22,177,3150
2023-05-16 16:06:21.830,1,82019543,No Relay,107,144,2920
2023-05-16 16:06:22.940,1,82019CF3,No Relay,18,138,2695
2023-05-16 16:06:24.049,1,82019A5C,No Relay,17,177,3070
2023-05-16 16:06:24.253,1,82019543,No Relay,108,156,2920
2023-05-16 16:06:24.456,1,82019F0C,No Relay,23,150,3150
2023-05-16 16:06:25.175,1,82019EBB,No Relay,21,183,2850
2023-05-16 16:06:25.690,1,82019CF3,No Relay,19,186,2695
2023-05-16 16:06:26.706,1,82019A5C,No Relay,18,183,3070
2023-05-16 16:06:26.894,1,82019543,No Relay,109,168,2920
2023-05-16 16:06:27.206,1,82019F0C,No Relay,24,189,3150
2023-05-16 16:06:28.019,1,82019EBB,No Relay,22,183,2850
2023-05-16 16:06:28.409,1,82019CF3,No Relay,20,183,2695
2023-05-16 16:06:29.472,1,82019543,No Relay,110,165,2920
2023-05-16 16:06:30.832,1,82019EBB,No Relay,23,186,2860
2023-05-16 16:06:31.019,1,82019CF3,No Relay,21,186,2700
2023-05-16 16:06:32.113,1,82019543,No Relay,111,168,2920
2023-05-16 16:06:32.316,1,82019A5C,No Relay,20,183,3070
2023-05-16 16:06:32.504,1,82019F0C,No Relay,26,189,3150
2023-05-16 16:06:33.535,1,82019EBB,No Relay,24,183,2860
2023-05-16 16:06:34.598,1,82019543,No Relay,112,168,2920
2023-05-16 16:06:34.786,1,82019A5C,No Relay,21,183,3070
2023-05-16 16:06:35.926,1,82019CF3,No Relay,23,183,2695
2023-05-16 16:06:36.161,1,82019EBB,No Relay,25,183,2860
2023-05-16 16:06:37.114,1,82019543,No Relay,113,156,2920
2023-05-16 16:06:37.333,1,82019F0C,No Relay,28,192,3150
2023-05-16 16:06:37.520,1,82019A5C,No Relay,22,180,3070
2023-05-16 16:06:38.442,1,82019CF3,No Relay,24,183,2695
2023-05-16 16:06:38.646,1,82019EBB,No Relay,26,183,2860
2023-05-16 16:06:39.833,1,82019543,No Relay,114,153,2920
2023-05-16 16:06:40.036,1,82019F0C,No Relay,29,192,3150
2023-05-16 16:06:40.239,1,82019A5C,No Relay,23,183,3070
2023-05-16 16:06:41.130,1,82019CF3,No Relay,25,183,2700
2023-05-16 16:06:41.333,1,82019EBB,No Relay,27,186,2860
2023-05-16 16:06:42.349,1,82019543,No Relay,115,156,2920
2023-05-16 16:06:42.552,1,82019F0C,No Relay,30,189,3150
2023-05-16 16:06:42.787,1,82019A5C,No Relay,24,180,3070
2023-05-16 16:06:43.740,1,82019CF3,No Relay,26,186,2695
2023-05-16 16:06:44.037,1,82019EBB,No Relay,28,186,2860
2023-05-16 16:06:44.818,1,82019543,No Relay,116,162,2920
2023-05-16 16:06:45.037,1,82019F0C,No Relay,31,192,3150
2023-05-16 16:06:45.553,1,82019A5C,No Relay,25,183,3070
2023-05-16 16:06:46.240,1,82019CF3,No Relay,27,186,2695
2023-05-16 16:06:46.522,1,82019EBB,No Relay,29,183,2860
2023-05-16 16:06:47.350,1,82019543,No Relay,117,159,2920
2023-05-16 16:06:48.256,1,82019A5C,No Relay,26,183,3070
2023-05-16 16:06:49.100,1,82019CF3,No Relay,28,186,2700
2023-05-16 16:06:49.319,1,82019EBB,No Relay,30,183,2860
2023-05-16 16:06:50.428,1,82019F0C,No Relay,33,189,3150
2023-05-16 16:06:50.632,1,82019A5C,No Relay,27,183,3070
2023-05-16 16:06:51.772,1,82019CF3,No Relay,29,183,2700
2023-05-16 16:06:51.960,1,82019EBB,No Relay,31,183,2860
2023-05-16 16:06:52.397,1,82019543,No Relay,119,162,2920
2023-05-16 16:06:52.913,1,82019F0C,No Relay,34,192,3150
2023-05-16 16:06:53.335,1,82019A5C,No Relay,28,183,3070
2023-05-16 16:06:54.413,1,82019EBB,No Relay,32,186,2860
2023-05-16 16:06:54.601,1,82019CF3,No Relay,30,186,2700
2023-05-16 16:06:55.163,1,82019543,No Relay,120,159,2920
2023-05-16 16:06:55.413,1,82019F0C,No Relay,35,186,3150
2023-05-16 16:06:55.930,1,82019A5C,No Relay,29,180,3070
2023-05-16 16:06:57.086,1,82019EBB,No Relay,33,186,2860
2023-05-16 16:06:57.289,1,82019CF3,No Relay,31,186,2695
2023-05-16 16:06:57.930,1,82019543,No Relay,121,159,2920
2023-05-16 16:06:58.477,1,82019A5C,No Relay,30,183,3070
2023-05-16 16:06:59.540,1,82019EBB,No Relay,34,186,2870
2023-05-16 16:06:59.883,1,82019CF3,No Relay,32,186,2700
2023-05-16 16:07:00.477,1,82019543,No Relay,122,168,2920
2023-05-16 16:07:00.774,1,82019F0C,No Relay,37,186,3150
2023-05-16 16:07:02.055,1,82019EBB,No Relay,35,186,2850
2023-05-16 16:07:02.634,1,82019CF3,No Relay,33,183,2695
2023-05-16 16:07:03.024,1,82019543,No Relay,123,174,2920
2023-05-16 16:07:03.478,1,82019F0C,No Relay,38,186,3150
2023-05-16 16:07:03.665,1,82019A5C,No Relay,32,186,3070
2023-05-16 16:07:04.900,1,82019EBB,No Relay,36,186,2860
2023-05-16 16:07:05.447,1,82019CF3,No Relay,34,186,2700
2023-05-16 16:07:05.916,1,82019F0C,No Relay,39,192,3150
2023-05-16 16:07:07.666,1,82019EBB,No Relay,37,186,2860
2023-05-16 16:07:08.041,1,82019CF3,No Relay,35,186,2700
2023-05-16 16:07:08.260,1,82019A5C,No Relay,34,186,3070
2023-05-16 16:07:08.463,1,82019543,No Relay,125,177,2920
2023-05-16 16:07:08.666,1,82019F0C,No Relay,40,189,3150
2023-05-16 16:07:10.463,1,82019EBB,No Relay,38,192,2860
2023-05-16 16:07:10.682,1,82019CF3,No Relay,36,183,2695
2023-05-16 16:07:10.870,1,82019A5C,No Relay,35,189,3070
2023-05-16 16:07:11.120,1,82019543,No Relay,126,171,2920
2023-05-16 16:07:11.323,1,82019F0C,No Relay,41,189,3150
2023-05-16 16:07:12.917,1,82019EBB,No Relay,39,186,2860
2023-05-16 16:07:13.104,1,82019CF3,No Relay,37,183,2700
2023-05-16 16:07:13.370,1,82019A5C,No Relay,36,183,3070
2023-05-16 16:07:13.901,1,82019543,No Relay,127,168,2910
2023-05-16 16:07:14.105,1,82019F0C,No Relay,42,192,3150
2023-05-16 16:07:15.433,1,82019EBB,No Relay,40,183,2860
2023-05-16 16:07:15.839,1,82019CF3,No Relay,38,183,2690
2023-05-16 16:07:16.652,1,82019F0C,No Relay,43,192,3150
2023-05-16 16:07:16.839,1,82019543,No Relay,128,168,2920
2023-05-16 16:07:17.918,1,82019EBB,No Relay,41,183,2850
2023-05-16 16:07:18.621,1,82019CF3,No Relay,39,183,2700
2023-05-16 16:07:18.808,1,82019A5C,No Relay,38,186,3070
2023-05-16 16:07:19.121,1,82019F0C,No Relay,44,192,3150
2023-05-16 16:07:19.512,1,82019543,No Relay,129,168,2920
2023-05-16 16:07:20.762,1,82019EBB,No Relay,42,183,2850
2023-05-16 16:07:21.043,1,82019CF3,No Relay,40,180,2700
2023-05-16 16:07:21.246,1,82019A5C,No Relay,39,186,3070
2023-05-16 16:07:21.934,1,82019543,No Relay,130,168,2920
2023-05-16 16:07:23.200,1,82019EBB,No Relay,43,183,2860
2023-05-16 16:07:24.497,1,82019543,No Relay,131,168,2920
2023-05-16 16:07:25.934,1,82019EBB,No Relay,44,189,2850
2023-05-16 16:07:26.981,1,82019F0C,No Relay,47,189,3150
2023-05-16 16:07:28.747,1,82019EBB,No Relay,45,186,2850
2023-05-16 16:07:29.075,1,82019CF3,No Relay,43,183,2695
2023-05-16 16:07:29.748,1,82019543,No Relay,133,168,2920
2023-05-16 16:07:29.951,1,82019F0C,No Relay,48,189,3150
2023-05-16 16:07:31.279,1,82019EBB,No Relay,46,189,2860
2023-05-16 16:07:31.639,1,82019CF3,No Relay,44,183,2695
2023-05-16 16:07:31.826,1,82019A5C,No Relay,43,183,3070
2023-05-16 16:07:32.389,1,82019543,No Relay,134,162,2920
2023-05-16 16:07:32.592,1,82019F0C,No Relay,49,192,3150
2023-05-16 16:07:33.764,1,82019EBB,No Relay,47,186,2860
2023-05-16 16:07:34.170,1,82019CF3,No Relay,45,183,2700
2023-05-16 16:07:34.436,1,82019A5C,No Relay,44,186,3070
2023-05-16 16:07:34.873,1,82019543,No Relay,135,171,2910
2023-05-16 16:07:35.077,1,82019F0C,No Relay,50,192,3150
2023-05-16 16:07:36.405,1,82019EBB,No Relay,48,186,2860
2023-05-16 16:07:36.999,1,82019CF3,No Relay,46,183,2700
2023-05-16 16:07:37.202,1,82019A5C,No Relay,45,186,3070
2023-05-16 16:07:37.749,1,82019543,No Relay,136,174,2920
2023-05-16 16:07:39.218,1,82019EBB,No Relay,49,186,2860
2023-05-16 16:07:39.499,1,82019A5C,No Relay,46,186,3070
2023-05-16 16:07:40.233,1,82019543,No Relay,137,174,2920
2023-05-16 16:07:40.421,1,82019F0C,No Relay,52,189,3150
2023-05-16 16:07:41.781,1,82019EBB,No Relay,50,186,2850
2023-05-16 16:07:42.234,1,82019A5C,No Relay,47,186,3070
2023-05-16 16:07:42.562,1,82019CF3,No Relay,48,183,2695
2023-05-16 16:07:42.765,1,82019543,No Relay,138,171,2910
2023-05-16 16:07:43.218,1,82019F0C,No Relay,53,192,3150
2023-05-16 16:07:44.500,1,82019EBB,No Relay,51,186,2850
2023-05-16 16:07:44.891,1,82019A5C,No Relay,48,186,3070
2023-05-16 16:07:45.140,1,82019543,No Relay,139,177,2920
2023-05-16 16:07:45.906,1,82019F0C,No Relay,54,189,3150
2023-05-16 16:07:46.953,1,82019EBB,No Relay,52,186,2860
2023-05-16 16:07:47.328,1,82019A5C,No Relay,49,186,3070
2023-05-16 16:07:47.532,1,82019CF3,No Relay,50,183,2700
2023-05-16 16:07:47.828,1,82019543,No Relay,140,171,2910
2023-05-16 16:07:48.563,1,82019F0C,No Relay,55,186,3150
2023-05-16 16:07:49.782,1,82019EBB,No Relay,53,189,2860
2023-05-16 16:07:50.110,1,82019A5C,No Relay,50,186,3070
2023-05-16 16:07:50.297,1,82019CF3,No Relay,51,186,2695
2023-05-16 16:07:50.485,1,82019543,No Relay,141,174,2920
2023-05-16 16:07:51.001,1,82019F0C,No Relay,56,192,3150
2023-05-16 16:07:52.532,1,82019EBB,No Relay,54,192,2860
2023-05-16 16:07:53.048,1,82019CF3,No Relay,52,180,2695
2023-05-16 16:07:53.251,1,82019543,No Relay,142,171,2910
2023-05-16 16:07:53.454,1,82019F0C,No Relay,57,192,3150
2023-05-16 16:07:55.142,1,82019A5C,No Relay,52,186,3070
2023-05-16 16:07:55.361,1,82019EBB,No Relay,55,186,2850
2023-05-16 16:07:55.689,1,82019CF3,No Relay,53,183,2690
2023-05-16 16:07:55.892,1,82019F0C,No Relay,58,189,3150
2023-05-16 16:07:57.767,1,82019A5C,No Relay,53,189,3070
2023-05-16 16:07:57.971,1,82019EBB,No Relay,56,183,2850
2023-05-16 16:07:58.158,1,82019F0C,No Relay,59,186,3150
2023-05-16 16:07:58.518,1,82019CF3,No Relay,54,183,2695
2023-05-16 16:07:58.721,1,82019543,No Relay,144,177,2920
2023-05-16 16:08:00.205,1,82019A5C,No Relay,54,186,3070
2023-05-16 16:08:00.408,1,82019EBB,No Relay,57,186,2850
2023-05-16 16:08:00.612,1,82019F0C,No Relay,60,192,3150
2023-05-16 16:08:01.237,1,82019CF3,No Relay,55,183,2700
2023-05-16 16:08:01.455,1,82019543,No Relay,145,177,2920
2023-05-16 16:08:02.581,1,82019A5C,No Relay,55,186,3070
2023-05-16 16:08:02.940,1,82019F0C,No Relay,61,192,3150
2023-05-16 16:08:03.174,1,82019EBB,No Relay,58,186,2850
2023-05-16 16:08:03.690,1,82019543,No Relay,146,177,2910
2023-05-16 16:08:03.878,1,82019CF3,No Relay,56,183,2695
2023-05-16 16:08:05.237,1,82019A5C,No Relay,56,183,3070
2023-05-16 16:08:06.019,1,82019EBB,No Relay,59,189,2850
2023-05-16 16:08:06.206,1,82019543,No Relay,147,177,2920
2023-05-16 16:08:07.691,1,82019A5C,No Relay,57,189,3070
2023-05-16 16:08:08.409,1,82019EBB,No Relay,60,192,2850
2023-05-16 16:08:08.644,1,82019543,No Relay,148,174,2920
2023-05-16 16:08:09.097,1,82019CF3,No Relay,58,183,2690
2023-05-16 16:08:10.332,1,82019A5C,No Relay,58,186,3070
2023-05-16 16:08:10.847,1,82019F0C,No Relay,64,189,3150
2023-05-16 16:08:11.051,1,82019EBB,No Relay,61,192,2850
2023-05-16 16:08:11.254,1,82019543,No Relay,149,174,2910
2023-05-16 16:08:11.801,1,82019CF3,No Relay,59,183,2700
2023-05-16 16:08:13.098,1,82019A5C,No Relay,59,186,3070
2023-05-16 16:08:13.582,1,82019F0C,No Relay,65,186,3150
2023-05-16 16:08:13.832,1,82019EBB,No Relay,62,189,2860
2023-05-16 16:08:15.926,1,82019A5C,No Relay,60,186,3070
2023-05-16 16:08:16.114,1,82019F0C,No Relay,66,189,3150
2023-05-16 16:08:16.817,1,82019543,No Relay,151,177,2910
2023-05-16 16:08:17.161,1,82019CF3,No Relay,61,183,2690
2023-05-16 16:08:18.677,1,82019A5C,No Relay,61,186,3070
2023-05-16 16:08:18.880,1,82019F0C,No Relay,67,192,3150
2023-05-16 16:08:19.255,1,82019543,No Relay,152,174,2920
2023-05-16 16:08:19.599,1,82019CF3,No Relay,62,183,2695
2023-05-16 16:08:21.302,1,82019A5C,No Relay,62,189,3070
2023-05-16 16:08:21.505,1,82019F0C,No Relay,68,192,3150
2023-05-16 16:08:21.693,1,82019543,No Relay,153,177,2910
2023-05-16 16:08:22.287,1,82019CF3,No Relay,63,183,2690
2023-05-16 16:08:24.053,1,82019A5C,No Relay,63,186,3070
2023-05-16 16:08:24.443,1,82019EBB,No Relay,66,189,2870
2023-05-16 16:08:24.631,1,82019543,No Relay,154,174,2910
2023-05-16 16:08:24.928,1,82019CF3,No Relay,64,183,2695
2023-05-16 16:08:26.569,1,82019F0C,No Relay,70,189,3150
2023-05-16 16:08:26.866,1,82019A5C,No Relay,64,186,3070
2023-05-16 16:08:27.334,1,82019543,No Relay,155,174,2910
2023-05-16 16:08:27.522,1,82019CF3,No Relay,65,183,2695
2023-05-16 16:08:29.131,1,82019F0C,No Relay,71,192,3150
2023-05-16 16:08:29.585,1,82019A5C,No Relay,65,186,3070
2023-05-16 16:08:30.038,1,82019EBB,No Relay,68,192,2870
2023-05-16 16:08:30.225,1,82019CF3,No Relay,66,183,2695
2023-05-16 16:08:31.757,1,82019F0C,No Relay,72,189,3150
2023-05-16 16:08:32.241,1,82019A5C,No Relay,66,186,3070
2023-05-16 16:08:32.804,1,82019CF3,No Relay,67,183,2695
2023-05-16 16:08:32.991,1,82019EBB,No Relay,69,186,2850
2023-05-16 16:08:34.617,1,82019A5C,No Relay,67,186,3070
2023-05-16 16:08:35.351,1,82019CF3,No Relay,68,183,2695
2023-05-16 16:08:35.554,1,82019543,No Relay,158,174,2910
2023-05-16 16:08:35.757,1,82019EBB,No Relay,70,186,2870
2023-05-16 16:08:36.539,1,82019F0C,No Relay,74,192,3150
2023-05-16 16:08:37.336,1,82019A5C,No Relay,68,186,3070
2023-05-16 16:08:38.023,1,82019EBB,No Relay,71,189,2850
2023-05-16 16:08:38.211,1,82019543,No Relay,159,174,2910
2023-05-16 16:08:40.414,1,82019EBB,No Relay,72,192,2850
2023-05-16 16:08:40.899,1,82019543,No Relay,160,174,2910
2023-05-16 16:08:41.086,1,82019CF3,No Relay,70,183,2695
2023-05-16 16:08:41.446,1,82019F0C,No Relay,76,192,3150
2023-05-16 16:08:43.211,1,82019EBB,No Relay,73,183,2850
2023-05-16 16:08:43.618,1,82019CF3,No Relay,71,186,2695
2023-05-16 16:08:44.055,1,82019F0C,No Relay,77,192,3140
2023-05-16 16:08:45.540,1,82019A5C,No Relay,71,186,3070
2023-05-16 16:08:45.790,1,82019EBB,No Relay,74,186,2870
2023-05-16 16:08:46.103,1,82019543,No Relay,162,177,2910
2023-05-16 16:08:46.306,1,82019CF3,No Relay,72,189,2695
2023-05-16 16:08:46.822,1,82019F0C,No Relay,78,195,3150
2023-05-16 16:08:48.368,1,82019A5C,No Relay,72,189,3070
2023-05-16 16:08:48.588,1,82019EBB,No Relay,75,186,2850
2023-05-16 16:08:48.775,1,82019CF3,No Relay,73,186,2695
2023-05-16 16:08:50.947,1,82019A5C,No Relay,73,189,3070
2023-05-16 16:08:51.197,1,82019EBB,No Relay,76,189,2870
2023-05-16 16:08:51.416,1,82019CF3,No Relay,74,192,2695
2023-05-16 16:08:52.166,1,82019F0C,No Relay,80,195,3150
2023-05-16 16:08:53.307,1,82019A5C,No Relay,74,189,3070
2023-05-16 16:08:53.869,1,82019EBB,No Relay,77,189,2850
2023-05-16 16:08:54.073,1,82019CF3,No Relay,75,183,2695
2023-05-16 16:08:54.604,1,82019F0C,No Relay,81,195,3150
2023-05-16 16:08:55.792,1,82019A5C,No Relay,75,186,3070
2023-05-16 16:08:56.542,1,82019CF3,No Relay,76,192,2695
2023-05-16 16:08:56.729,1,82019EBB,No Relay,78,186,2850
2023-05-16 16:08:59.167,1,82019EBB,No Relay,79,189,2850
2023-05-16 16:08:59.370,1,82019CF3,No Relay,77,186,2695
2023-05-16 16:08:59.558,1,82019543,No Relay,167,171,2910
2023-05-16 16:08:59.745,1,82019F0C,No Relay,83,192,3150
2023-05-16 16:09:00.714,1,82019A5C,No Relay,77,186,3070
2023-05-16 16:09:01.761,1,82019EBB,No Relay,80,186,2850
2023-05-16 16:09:01.964,1,82019543,No Relay,168,174,2910
2023-05-16 16:09:02.167,1,82019CF3,No Relay,78,186,2690
2023-05-16 16:09:02.371,1,82019F0C,No Relay,84,198,3150
2023-05-16 16:09:03.168,1,82019A5C,No Relay,78,186,3070
2023-05-16 16:09:04.480,1,82019543,No Relay,169,180,2910
2023-05-16 16:09:04.668,1,82019EBB,No Relay,81,189,2870
2023-05-16 16:09:04.887,1,82019F0C,No Relay,85,195,3140
2023-05-16 16:09:05.996,1,82019A5C,No Relay,79,192,3070
2023-05-16 16:09:06.981,1,82019EBB,No Relay,82,186,2870
2023-05-16 16:09:07.184,1,82019CF3,No Relay,80,189,2695
2023-05-16 16:09:07.387,1,82019543,No Relay,170,171,2910
2023-05-16 16:09:07.575,1,82019F0C,No Relay,86,195,3150
2023-05-16 16:09:08.450,1,82019A5C,No Relay,80,183,3070
2023-05-16 16:09:09.372,1,82019EBB,No Relay,83,186,2850
2023-05-16 16:09:09.591,1,82019543,No Relay,171,168,2910
2023-05-16 16:09:09.794,1,82019CF3,No Relay,81,189,2695
2023-05-16 16:09:11.857,1,82019EBB,No Relay,84,192,2850
2023-05-16 16:09:12.200,1,82019CF3,No Relay,82,186,2690
2023-05-16 16:09:12.388,1,82019543,No Relay,172,168,2910
2023-05-16 16:09:12.935,1,82019F0C,No Relay,88,195,3150
2023-05-16 16:09:13.153,1,82019A5C,No Relay,82,183,3070
2023-05-16 16:09:14.450,1,82019EBB,No Relay,85,192,2850
2023-05-16 16:09:14.638,1,82019CF3,No Relay,83,192,2695
2023-05-16 16:09:15.060,1,82019543,No Relay,173,168,2910
2023-05-16 16:09:15.576,1,82019A5C,No Relay,83,183,3070
2023-05-16 16:09:15.779,1,82019F0C,No Relay,89,198,3140
2023-05-16 16:09:17.232,1,82019CF3,No Relay,84,186,2690
2023-05-16 16:09:18.092,1,82019A5C,No Relay,84,183,3070
2023-05-16 16:09:19.717,1,82019EBB,No Relay,87,189,2870
2023-05-16 16:09:20.061,1,82019543,No Relay,175,168,2910
2023-05-16 16:09:20.420,1,82019A5C,No Relay,85,183,3070
2023-05-16 16:09:20.936,1,82019F0C,No Relay,91,195,3150
2023-05-16 16:09:22.514,1,82019543,No Relay,176,168,2910
2023-05-16 16:09:22.733,1,82019EBB,No Relay,88,189,2850
2023-05-16 16:09:22.920,1,82019A5C,No Relay,86,183,3070
2023-05-16 16:09:23.561,1,82019F0C,No Relay,92,195,3150
2023-05-16 16:09:25.014,1,82019543,No Relay,177,168,2910
2023-05-16 16:09:25.342,1,82019CF3,No Relay,87,186,2695
2023-05-16 16:09:25.546,1,82019A5C,No Relay,87,183,3070
2023-05-16 16:09:25.921,1,82019F0C,No Relay,93,195,3140
2023-05-16 16:09:27.546,1,82019543,No Relay,178,168,2910
2023-05-16 16:09:27.796,1,82019EBB,No Relay,90,189,2850
2023-05-16 16:09:28.030,1,82019CF3,No Relay,88,189,2700
2023-05-16 16:09:28.265,1,82019A5C,No Relay,88,183,3070
2023-05-16 16:09:28.593,1,82019F0C,No Relay,94,195,3150
2023-05-16 16:09:30.187,1,82019543,No Relay,179,168,2910
2023-05-16 16:09:30.609,1,82019EBB,No Relay,91,186,2850
2023-05-16 16:09:30.812,1,82019CF3,No Relay,89,189,2690
2023-05-16 16:09:31.000,1,82019A5C,No Relay,89,183,3070
2023-05-16 16:09:31.203,1,82019F0C,No Relay,95,195,3140
2023-05-16 16:09:32.625,1,82019543,No Relay,180,165,2910
2023-05-16 16:09:33.313,1,82019CF3,No Relay,90,186,2700
2023-05-16 16:09:33.516,1,82019A5C,No Relay,90,183,3070
2023-05-16 16:09:35.313,1,82019543,No Relay,181,168,2910
2023-05-16 16:09:35.798,1,82019A5C,No Relay,91,183,3070
2023-05-16 16:09:36.110,1,82019EBB,No Relay,93,186,2850
2023-05-16 16:09:36.313,1,82019F0C,No Relay,97,198,3150
2023-05-16 16:09:38.126,1,82019543,No Relay,182,168,2910
2023-05-16 16:09:38.595,1,82019A5C,No Relay,92,183,3070
2023-05-16 16:09:38.783,1,82019F0C,No Relay,98,195,3140
2023-05-16 16:09:38.986,1,82019CF3,No Relay,92,186,2700
2023-05-16 16:09:40.580,1,82019543,No Relay,183,168,2910
2023-05-16 16:09:41.314,1,82019A5C,No Relay,93,183,3070
2023-05-16 16:09:41.502,1,82019F0C,No Relay,99,195,3140
2023-05-16 16:09:41.705,1,82019EBB,No Relay,95,189,2860
2023-05-16 16:09:43.470,1,82019543,No Relay,184,168,2910
2023-05-16 16:09:43.814,1,82019A5C,No Relay,94,186,3070
2023-05-16 16:09:44.158,1,82019EBB,No Relay,96,186,2850
2023-05-16 16:09:44.361,1,82019CF3,No Relay,94,186,2690
