時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧
2023-05-16 16:04:11.815,1,8201A0FF,No Relay,49,171,3070
2023-05-16 16:04:12.128,1,82018DBB,No Relay,5,174,2940
2023-05-16 16:04:12.612,1,82019CFB,No Relay,36,126,2740
2023-05-16 16:04:14.019,1,82019B41,No Relay,56,192,2950
2023-05-16 16:04:14.222,1,82019C9E,No Relay,2,153,2840
2023-05-16 16:04:14.409,1,8201A0FF,No Relay,50,168,3070
2023-05-16 16:04:14.988,1,82018DBB,No Relay,6,177,2940
2023-05-16 16:04:16.691,1,82019C9E,No Relay,3,168,2870
2023-05-16 16:04:16.878,1,8201A0FF,No Relay,51,168,3080
2023-05-16 16:04:17.082,1,82019B41,No Relay,57,195,2950
2023-05-16 16:04:17.378,1,82018DBB,No Relay,7,177,2940
2023-05-16 16:04:18.113,1,82019CFB,No Relay,38,159,2730
2023-05-16 16:04:19.254,1,8201A0FF,No Relay,52,156,3080
2023-05-16 16:04:20.567,1,82019CFB,No Relay,39,159,2735
2023-05-16 16:04:21.786,1,82019C9E,No Relay,5,222,2910
2023-05-16 16:04:21.989,1,82019B41,No Relay,59,195,2950
2023-05-16 16:04:22.473,1,82018DBB,No Relay,9,180,2960
2023-05-16 16:04:25.817,1,82019CFB,No Relay,41,156,2735
2023-05-16 16:04:26.942,1,8201A0FF,No Relay,55,126,3070
2023-05-16 16:04:27.130,1,82019B41,No Relay,61,195,2950
2023-05-16 16:04:27.583,1,82018DBB,No Relay,11,177,2960
2023-05-16 16:04:28.443,1,82019CFB,No Relay,42,150,2730
2023-05-16 16:04:29.271,1,8201A0FF,No Relay,56,123,3080
2023-05-16 16:04:29.755,1,82019C9E,No Relay,8,228,2930
2023-05-16 16:04:29.959,1,82019B41,No Relay,62,192,2950
2023-05-16 16:04:32.709,1,82019B41,No Relay,63,198,2950
2023-05-16 16:04:32.896,1,82018DBB,No Relay,13,177,2940
2023-05-16 16:04:33.365,1,82019CFB,No Relay,44,168,2730
2023-05-16 16:04:35.303,1,82019B41,No Relay,64,186,2950
2023-05-16 16:04:35.506,1,82018DBB,No Relay,14,177,2930
2023-05-16 16:04:36.162,1,82019CFB,No Relay,45,150,2730
2023-05-16 16:04:37.647,1,82019C9E,No Relay,11,150,2950
2023-05-16 16:04:37.835,1,82019B41,No Relay,65,177,2950
2023-05-16 16:04:38.241,1,82018DBB,No Relay,15,168,2940
2023-05-16 16:04:38.913,1,82019CFB,No Relay,46,198,2730
2023-05-16 16:04:40.054,1,8201A0FF,No Relay,2,186,3080
2023-05-16 16:04:40.507,1,82019C9E,No Relay,12,162,2950
2023-05-16 16:04:40.710,1,82018DBB,No Relay,16,183,2950
2023-05-16 16:04:40.913,1,82019B41,No Relay,66,183,2950
2023-05-16 16:04:42.804,1,8201A0FF,No Relay,3,156,3080
2023-05-16 16:04:43.429,1,82018DBB,No Relay,17,147,2940
2023-05-16 16:04:44.086,1,82019CFB,No Relay,48,135,2730
2023-05-16 16:04:45.987,1,82019C9E,No Relay,14,132,2960
2023-05-16 16:04:46.206,1,82019B41,No Relay,68,168,2950
2023-05-16 16:04:46.830,1,82019CFB,No Relay,49,129,2730
2023-05-16 16:04:48.065,1,8201A0FF,No Relay,5,159,3080
2023-05-16 16:04:48.612,1,82019C9E,No Relay,15,159,2960
2023-05-16 16:04:48.799,1,82019B41,No Relay,69,171,2950
2023-05-16 16:04:49.315,1,82019CFB,No Relay,50,126,2730
2023-05-16 16:04:50.675,1,8201A0FF,No Relay,6,141,3080
2023-05-16 16:04:51.409,1,82019C9E,No Relay,16,168,2960
