time,tag,Number,LQI,xacc,yacc,zacc,datatype,
2023/11/07 16:18:23.349,82019EFE,18,213,-991,112,271,0,
2023/11/07 16:18:24.332,82019EFE,19,213,-995,110,256,0,
2023/11/07 16:18:25.325,82019EFE,20,213,-1001,104,236,0,
2023/11/07 16:18:26.313,82019EFE,21,213,-1005,105,208,0,
2023/11/07 16:18:27.304,82019EFE,22,213,-1009,101,209,0,
2023/11/07 16:18:28.296,82019EFE,23,213,-1006,108,207,0,
2023/11/07 16:18:29.285,82019EFE,24,213,-1010,105,201,0,
2023/11/07 16:18:30.255,82019EFE,25,210,-1007,106,202,0,
2023/11/07 16:18:31.256,82019EFE,26,213,-1009,111,197,0,
2023/11/07 16:18:32.244,82019EFE,27,210,-1010,108,195,0,
2023/11/07 16:18:33.235,82019EFE,28,213,-1009,110,202,0,
2023/11/07 16:18:34.219,82019EFE,29,210,-1008,110,198,0,
2023/11/07 16:18:35.206,82019EFE,30,210,-1008,107,197,0,
2023/11/07 16:18:36.196,82019EFE,31,210,-1007,109,200,0,
2023/11/07 16:18:37.188,82019EFE,32,210,-1010,113,198,0,
2023/11/07 16:18:38.177,82019EFE,33,213,-1010,106,199,0,
2023/11/07 16:18:39.156,82019EFE,34,213,-1004,110,202,0,
2023/11/07 16:18:40.148,82019EFE,35,213,-1011,106,200,0,
2023/11/07 16:18:41.134,82019EFE,36,210,-1011,113,189,0,
2023/11/07 16:18:42.142,82019EFE,37,213,-1009,110,189,0,
2023/11/07 16:18:43.128,82019EFE,38,210,-1008,110,189,0,
2023/11/07 16:18:44.126,82019EFE,39,210,-1005,111,205,0,
2023/11/07 16:18:45.105,82019EFE,40,213,-995,119,245,0,
2023/11/07 16:18:46.100,82019EFE,41,219,-958,116,397,0,
2023/11/07 16:18:47.090,82019EFE,42,216,-910,-11,478,0,
2023/11/07 16:18:48.071,82019EFE,43,210,-942,-9,430,0,
2023/11/07 16:18:49.065,82019EFE,44,210,-943,87,433,0,
2023/11/07 16:18:50.060,82019EFE,45,207,-917,8,494,0,
2023/11/07 16:18:51.053,82019EFE,46,210,-908,-7,481,0,
2023/11/07 16:18:52.031,82019EFE,47,210,-915,-55,487,0,
2023/11/07 16:18:53.031,82019EFE,48,210,-922,-40,479,0,
2023/11/07 16:18:54.024,82019EFE,49,210,-904,-24,485,0,
2023/11/07 16:18:55.006,82019EFE,50,213,-923,2,457,0,
2023/11/07 16:18:55.989,82019EFE,51,210,-895,-38,472,0,
2023/11/07 16:18:56.973,82019EFE,52,213,-918,33,468,0,
2023/11/07 16:18:57.963,82019EFE,53,210,-919,-22,474,0,
2023/11/07 16:18:58.953,82019EFE,54,201,-1107,-29,591,0,
2023/11/07 16:18:59.943,82019EFE,55,201,-974,-111,252,0,
2023/11/07 16:19:00.918,82019EFE,56,216,-993,-210,133,0,
2023/11/07 16:19:01.914,82019EFE,57,222,-1003,-255,70,0,
2023/11/07 16:19:02.920,82019EFE,58,228,-1003,-257,68,0,
2023/11/07 16:19:03.952,82019EFE,59,222,-1005,-252,69,0,
2023/11/07 16:19:04.937,82019EFE,60,228,-1002,-253,73,0,
2023/11/07 16:19:05.929,82019EFE,61,225,-1005,-255,70,0,
2023/11/07 16:19:06.922,82019EFE,62,225,-1003,-256,69,0,
2023/11/07 16:19:07.903,82019EFE,63,228,-1002,-256,70,0,
2023/11/07 16:19:08.903,82019EFE,64,228,-1002,-251,72,0,
2023/11/07 16:19:09.882,82019EFE,65,228,-1004,-255,72,0,
2023/11/07 16:19:10.882,82019EFE,66,222,-1004,-252,71,0,
2023/11/07 16:19:11.864,82019EFE,67,228,-1007,-252,70,0,
2023/11/07 16:19:12.854,82019EFE,68,222,-1005,-253,68,0,
2023/11/07 16:19:13.842,82019EFE,69,222,-1002,-253,71,0,
2023/11/07 16:19:14.837,82019EFE,70,228,-1002,-251,67,0,
2023/11/07 16:19:15.826,82019EFE,71,228,-1004,-251,70,0,
2023/11/07 16:19:16.821,82019EFE,72,228,-1003,-250,71,0,
2023/11/07 16:19:19.553,82019EFE,1,228,-1003,-249,69,0,
2023/11/07 16:19:20.531,82019EFE,2,228,-1006,-250,66,0,
2023/11/07 16:19:21.521,82019EFE,3,228,-1005,-254,71,0,
2023/11/07 16:19:22.534,82019EFE,4,222,-1004,-252,71,0,
2023/11/07 16:19:23.520,82019EFE,5,228,-1003,-249,69,0,
2023/11/07 16:19:24.500,82019EFE,6,222,-1005,-249,70,0,
2023/11/07 16:19:25.490,82019EFE,7,228,-1003,-252,72,0,
2023/11/07 16:19:26.493,82019EFE,8,225,-1003,-251,71,0,
2023/11/07 16:19:27.473,82019EFE,9,228,-1003,-249,72,0,
2023/11/07 16:20:57.797,82019B41,1,168,-1015,-191,-92,0,
2023/11/07 16:21:02.661,82019B41,1,162,-1010,-191,-104,0,
2023/11/07 16:21:03.641,82019B41,2,165,-1016,-194,-99,0,
2023/11/07 16:21:04.594,82019B41,3,162,-1013,-189,-93,0,
2023/11/07 16:21:05.580,82019B41,4,165,-1014,-190,-96,0,
2023/11/07 16:21:06.556,82019B41,5,168,-1014,-192,-101,0,
2023/11/07 16:21:07.529,82019B41,6,165,-1012,-192,-94,0,
2023/11/07 16:21:08.507,82019B41,7,171,-1014,-186,-95,0,
2023/11/07 16:21:09.482,82019B41,8,174,-1014,-191,-104,0,
2023/11/07 16:21:10.456,82019B41,9,171,-1015,-194,-104,0,
2023/11/07 16:21:11.416,82019B41,10,171,-1013,-196,-101,0,
2023/11/07 16:21:12.395,82019B41,11,171,-1008,-198,-102,0,
2023/11/07 16:21:13.368,82019B41,12,171,-1010,-196,-108,0,
2023/11/07 16:21:14.339,82019B41,13,171,-1013,-192,-104,0,
2023/11/07 16:21:15.302,82019B41,14,171,-1010,-199,-107,0,
2023/11/07 16:21:16.280,82019B41,15,174,-1007,-194,-108,0,
2023/11/07 16:21:17.255,82019B41,16,171,-1005,-197,-108,0,
2023/11/07 16:21:18.245,82019B41,17,171,-1010,-194,-107,0,
2023/11/07 16:21:19.224,82019B41,18,171,-1013,-200,-110,0,
2023/11/07 16:21:20.197,82019B41,19,171,-1009,-195,-111,0,
2023/11/07 16:21:21.173,82019B41,20,171,-1008,-196,-105,0,
2023/11/07 16:21:22.155,82019B41,21,171,-1005,-197,-100,0,
2023/11/07 16:21:23.122,82019B41,22,171,-1008,-200,-105,0,
2023/11/07 16:21:24.086,82019B41,23,171,-1013,-198,-101,0,
2023/11/07 16:21:25.059,82019B41,24,174,-1010,-200,-104,0,
2023/11/07 16:21:26.036,82019B41,25,171,-1011,-198,-111,0,
2023/11/07 16:21:27.008,82019B41,26,171,-1009,-202,-107,0,
2023/11/07 16:21:27.982,82019B41,27,174,-1009,-198,-102,0,
2023/11/07 16:21:28.960,82019B41,28,171,-1011,-195,-107,0,
2023/11/07 16:21:29.921,82019B41,29,174,-1008,-197,-111,0,
2023/11/07 16:21:30.897,82019B41,30,171,-1007,-197,-101,0,
2023/11/07 16:21:31.872,82019B41,31,174,-1008,-200,-108,0,
2023/11/07 16:21:32.845,82019B41,32,171,-1009,-201,-106,0,
