time,tag,Number,LQI,xacc,yacc,zacc,datatype,
2023/11/07 16:02:16.773,82019CF3,13,222,-1022,165,326,0,
2023/11/07 16:02:17.762,82019CF3,14,219,-1022,162,327,0,
2023/11/07 16:02:18.752,82019CF3,15,219,-1014,159,323,0,
2023/11/07 16:02:19.739,82019CF3,16,219,-1022,163,326,0,
2023/11/07 16:02:20.735,82019CF3,17,219,-1022,163,324,0,
2023/11/07 16:02:21.728,82019CF3,18,219,-1019,163,331,0,
2023/11/07 16:02:22.720,82019CF3,19,222,-1013,160,329,0,
2023/11/07 16:02:23.714,82019CF3,20,219,-1029,179,330,0,
2023/11/07 16:02:24.702,82019CF3,21,222,-1018,177,330,0,
2023/11/07 16:02:25.695,82019CF3,22,219,-1020,180,329,0,
2023/11/07 16:02:26.698,82019CF3,23,219,-1019,178,335,0,
2023/11/07 16:02:27.691,82019CF3,24,219,-1015,180,333,0,
2023/11/07 16:02:28.681,82019CF3,25,228,-1015,168,342,0,
2023/11/07 16:02:29.674,82019CF3,26,222,-1022,164,339,0,
2023/11/07 16:02:30.669,82019CF3,27,219,-1028,165,333,0,
2023/11/07 16:02:31.660,82019CF3,28,219,-1026,165,336,0,
2023/11/07 16:02:32.653,82019CF3,29,219,-1022,159,336,0,
2023/11/07 16:02:33.645,82019CF3,30,219,-1022,168,333,0,
2023/11/07 16:02:34.635,82019CF3,31,222,-1024,163,333,0,
2023/11/07 16:02:35.627,82019CF3,32,222,-1020,165,336,0,
2023/11/07 16:02:36.618,82019CF3,33,219,-1020,164,335,0,
2023/11/07 16:02:37.609,82019CF3,34,219,-1020,164,335,0,
2023/11/07 16:02:38.602,82019CF3,35,219,-1017,164,333,0,
2023/11/07 16:02:39.594,82019CF3,36,219,-1022,162,332,0,
2023/11/07 16:02:40.584,82019CF3,37,219,-1018,168,334,0,
2023/11/07 16:02:41.588,82019CF3,38,219,-1019,161,332,0,
2023/11/07 16:02:42.582,82019CF3,39,219,-1019,163,322,0,
2023/11/07 16:02:43.558,82019CF3,40,222,-1011,163,370,0,
2023/11/07 16:02:44.552,82019CF3,41,219,-968,232,414,0,
2023/11/07 16:02:45.542,82019CF3,42,222,-955,255,442,0,
2023/11/07 16:02:46.534,82019CF3,43,222,-955,267,439,0,
2023/11/07 16:02:47.525,82019CF3,44,222,-976,281,352,0,
2023/11/07 16:02:48.518,82019CF3,45,222,-985,279,352,0,
2023/11/07 16:02:49.507,82019CF3,46,222,-1016,297,333,0,
2023/11/07 16:02:50.503,82019CF3,47,222,-984,273,346,0,
2023/11/07 16:02:51.491,82019CF3,48,222,-987,278,333,0,
2023/11/07 16:02:52.483,82019CF3,49,222,-988,279,334,0,
2023/11/07 16:02:53.471,82019CF3,50,222,-987,279,335,0,
2023/11/07 16:02:54.481,82019CF3,51,222,-987,278,334,0,
2023/11/07 16:02:55.473,82019CF3,52,222,-1009,234,311,0,
2023/11/07 16:02:56.466,82019CF3,53,222,-998,264,323,0,
2023/11/07 16:02:57.458,82019CF3,54,222,-996,261,327,0,
2023/11/07 16:02:58.448,82019CF3,55,222,-1002,266,324,0,
2023/11/07 16:02:59.441,82019CF3,56,222,-996,262,325,0,
2023/11/07 16:03:00.432,82019CF3,57,222,-996,264,327,0,
2023/11/07 16:03:01.425,82019CF3,58,222,-998,258,323,0,
2023/11/07 16:03:02.415,82019CF3,59,222,-998,260,320,0,
2023/11/07 16:03:03.407,82019CF3,60,219,-999,259,324,0,
2023/11/07 16:03:04.398,82019CF3,61,222,-999,258,320,0,
2023/11/07 16:03:05.389,82019CF3,62,222,-1000,259,316,0,
2023/11/07 16:03:06.395,82019CF3,63,222,-1000,258,325,0,
2023/11/07 16:03:07.372,82019CF3,64,222,-999,261,322,0,
2023/11/07 16:03:08.358,82019CF3,65,222,-1003,260,319,0,
2023/11/07 16:03:09.343,82019CF3,66,222,-1000,260,319,0,
2023/11/07 16:03:10.360,82019CF3,67,219,-997,255,322,0,
2023/11/07 16:03:11.345,82019CF3,68,222,-1001,259,318,0,
2023/11/07 16:03:12.345,82019CF3,69,222,-998,259,322,0,
2023/11/07 16:03:13.330,82019CF3,70,222,-1000,261,320,0,
2023/11/07 16:03:14.315,82019CF3,71,222,-999,261,324,0,
2023/11/07 16:03:15.300,82019CF3,72,219,-999,267,318,0,
2023/11/07 16:03:16.301,82019CF3,73,222,-996,274,315,0,
2023/11/07 16:03:17.302,82019CF3,74,222,-994,274,317,0,
2023/11/07 16:03:18.287,82019CF3,75,219,-1000,275,303,0,
2023/11/07 16:03:19.287,82019CF3,76,222,-1011,250,301,0,
2023/11/07 16:03:20.288,82019CF3,77,222,-1022,200,296,0,
2023/11/07 16:03:21.273,82019CF3,78,222,-1025,196,297,0,
2023/11/07 16:03:22.274,82019CF3,79,222,-1018,199,299,0,
2023/11/07 16:03:23.259,82019CF3,80,222,-1019,217,302,0,
2023/11/07 16:03:24.260,82019CF3,81,219,-1016,223,299,0,
2023/11/07 16:03:25.252,82019CF3,82,216,-1050,83,282,0,
2023/11/07 16:03:26.230,82019CF3,83,222,-1044,89,287,0,
2023/11/07 16:03:27.231,82019CF3,84,219,-1040,96,287,0,
2023/11/07 16:03:28.206,82019CF3,85,219,-1042,99,289,0,
2023/11/07 16:03:29.206,82019CF3,86,219,-1039,103,293,0,
2023/11/07 16:03:30.207,82019CF3,87,219,-1036,107,294,0,
2023/11/07 16:03:31.192,82019CF3,88,219,-1040,102,293,0,
2023/11/07 16:03:32.193,82019CF3,89,219,-1041,108,293,0,
2023/11/07 16:03:33.178,82019CF3,90,222,-1037,106,300,0,
2023/11/07 16:03:34.164,82019CF3,91,219,-1037,111,308,0,
2023/11/07 16:03:35.164,82019CF3,92,219,-1034,109,312,0,
2023/11/07 16:03:36.150,82019CF3,93,219,-1029,109,311,0,
2023/11/07 16:03:37.150,82019CF3,94,219,-1034,112,312,0,
2023/11/07 16:03:38.136,82019CF3,95,219,-1035,116,311,0,
2023/11/07 16:03:39.137,82019CF3,96,219,-1034,114,307,0,
2023/11/07 16:03:40.122,82019CF3,97,219,-1035,111,311,0,
2023/11/07 16:03:41.107,82019CF3,98,219,-1041,108,303,0,
2023/11/07 16:03:42.108,82019CF3,99,219,-1039,105,305,0,
2023/11/07 16:03:43.102,82019CF3,100,219,-1037,106,297,0,
2023/11/07 16:03:44.093,82019CF3,101,219,-1042,107,296,0,
