20230814_15:10:28.778,82019EBB,28,177,0,
20230814_15:10:29.345,82019EBB,29,183,0,
20230814_15:10:29.929,82019EBB,30,162,0,
20230814_15:10:30.505,82019EBB,31,168,0,
20230814_15:10:31.069,82019EBB,32,168,0,
20230814_15:10:31.655,82019EBB,33,168,0,
20230814_15:10:32.223,82019EBB,34,183,0,
20230814_15:10:32.800,82019EBB,35,189,0,
20230814_15:10:33.359,82019EBB,36,192,0,
20230814_15:10:35.092,82019EBB,39,162,0,
20230814_15:10:35.657,82019EBB,40,150,0,
20230814_15:10:36.798,82019EBB,42,159,0,
20230814_15:10:37.376,82019EBB,43,144,0,
20230814_15:10:37.942,82019EBB,44,135,0,
20230814_15:10:38.528,82019EBB,45,135,0,
20230814_15:10:39.088,82019EBB,46,144,0,
20230814_15:10:39.661,82019EBB,47,150,0,
20230814_15:10:40.237,82019EBB,48,132,0,
20230814_15:10:40.811,82019EBB,49,159,0,
20230814_15:10:41.380,82019EBB,50,135,0,
20230814_15:10:41.945,82019EBB,51,144,0,
20230814_15:10:42.508,82019EBB,52,120,0,
20230814_15:10:43.091,82019EBB,53,132,0,
20230814_15:10:43.658,82019EBB,54,114,0,
20230814_15:10:44.221,82019EBB,55,162,0,
20230814_15:10:44.804,82019EBB,56,132,0,
20230814_15:10:45.365,82019EBB,57,126,0,
20230814_15:10:45.939,82019EBB,58,126,0,
20230814_15:10:46.498,82019EBB,59,126,0,
20230814_15:10:47.088,82019EBB,60,120,0,
20230814_15:10:47.656,82019EBB,61,123,0,
20230814_15:10:48.210,82019EBB,62,120,0,
20230814_15:10:50.507,82019EBB,66,111,0,
20230814_15:10:51.067,82019EBB,67,111,0,
20230814_15:10:51.630,82019EBB,68,111,0,
20230814_15:10:52.217,82019EBB,69,168,0,
20230814_15:10:52.774,82019EBB,70,156,0,
20230814_15:10:53.346,82019EBB,71,156,0,
20230814_15:10:53.928,82019EBB,72,159,0,
20230814_15:10:54.487,82019EBB,73,150,0,
20230814_15:10:55.064,82019EBB,74,162,0,
20230814_15:10:56.197,82019EBB,76,153,0,
20230814_15:10:56.772,82019EBB,77,132,0,
20230814_15:10:57.323,82019EBB,78,144,0,
20230814_15:10:57.903,82019EBB,79,123,0,
20230814_15:10:58.469,82019EBB,80,111,0,
20230814_15:10:59.599,82019EBB,82,114,0,
20230814_15:11:00.166,82019EBB,83,114,0,
20230814_15:11:00.738,82019EBB,84,126,0,
20230814_15:11:01.310,82019EBB,85,168,0,
20230814_15:11:01.876,82019EBB,86,135,0,
20230814_15:11:02.446,82019EBB,87,135,0,
20230814_15:11:03.027,82019EBB,88,135,0,
20230814_15:11:03.583,82019EBB,89,135,0,
20230814_15:11:04.156,82019EBB,90,141,0,
20230814_15:11:04.716,82019EBB,91,171,0,
20230814_15:11:05.278,82019EBB,92,153,0,
20230814_15:11:05.853,82019EBB,93,153,0,
20230814_15:11:06.425,82019EBB,94,150,0,
20230814_15:11:07.001,82019EBB,95,153,0,
20230814_15:11:07.559,82019EBB,96,153,0,
20230814_15:11:08.136,82019EBB,97,150,0,
20230814_15:11:08.688,82019EBB,98,147,0,
20230814_15:11:09.269,82019EBB,99,144,0,
20230814_15:11:09.818,82019EBB,100,147,0,
20230814_15:11:10.405,82019EBB,101,144,0,
20230814_15:11:10.965,82019EBB,102,171,0,
20230814_15:11:11.540,82019EBB,103,159,0,
20230814_15:11:12.115,82019EBB,104,132,0,
20230814_15:11:12.675,82019EBB,105,150,0,
20230814_15:11:13.249,82019EBB,106,168,0,
20230814_15:11:13.811,82019EBB,107,159,0,
20230814_15:11:14.384,82019EBB,108,159,0,
20230814_15:11:14.945,82019EBB,109,159,0,
20230814_15:11:15.515,82019EBB,110,168,0,
20230814_15:11:16.092,82019EBB,111,168,0,
20230814_15:11:16.649,82019EBB,112,180,0,
20230814_15:11:17.223,82019EBB,113,174,0,
20230814_15:11:17.774,82019EBB,114,168,0,
20230814_15:11:18.358,82019EBB,115,177,0,
20230814_15:11:18.917,82019EBB,116,177,0,
20230814_15:11:19.493,82019EBB,117,141,0,
20230814_15:11:20.052,82019EBB,118,153,0,
20230814_15:11:20.627,82019EBB,119,144,0,
20230814_15:11:21.187,82019EBB,120,138,0,
20230814_15:11:21.762,82019EBB,121,222,0,
20230814_15:11:22.307,82019EBB,122,231,0,
20230814_15:11:22.897,82019EBB,123,231,0,
20230814_15:11:24.031,82019EBB,125,207,0,
20230814_15:11:24.588,82019EBB,126,186,0,
20230814_15:11:25.159,82019EBB,127,195,0,
20230814_15:11:25.724,82019EBB,128,177,0,
20230814_15:11:26.859,82019EBB,130,186,0,
20230814_15:11:27.434,82019EBB,131,159,0,
20230814_15:11:27.992,82019EBB,132,162,0,
20230814_15:11:28.566,82019EBB,133,162,0,
20230814_15:11:29.128,82019EBB,134,168,0,
20230814_15:11:29.700,82019EBB,135,162,0,
20230814_15:11:30.246,82019EBB,136,165,0,
20230814_15:11:30.836,82019EBB,137,168,0,
20230814_15:11:31.388,82019EBB,138,168,0,
20230814_15:11:31.959,82019EBB,139,168,0,
20230814_15:11:32.532,82019EBB,140,168,0,
20230814_15:11:33.090,82019EBB,141,168,0,
20230814_15:11:33.660,82019EBB,142,168,0,
20230814_15:11:34.220,82019EBB,143,168,0,
20230814_15:11:34.789,82019EBB,144,168,0,
20230814_15:11:35.359,82019EBB,145,168,0,
20230814_15:11:35.934,82019EBB,146,168,0,
20230814_15:11:36.493,82019EBB,147,168,0,
20230814_15:11:37.069,82019EBB,148,168,0,
20230814_15:11:37.623,82019EBB,149,168,0,
