time,tag,Number,LQI,xacc,yacc,zacc,datatype,
2023/11/07 15:55:03.514,82019CF3,22,210,-994,148,411,0,
2023/11/07 15:55:04.505,82019CF3,23,210,-997,144,403,0,
2023/11/07 15:55:05.497,82019CF3,24,210,-998,149,403,0,
2023/11/07 15:55:06.506,82019CF3,25,213,-1008,147,399,0,
2023/11/07 15:55:07.491,82019CF3,26,210,-996,143,395,0,
2023/11/07 15:55:08.487,82019CF3,27,213,-1003,132,390,0,
2023/11/07 15:55:09.479,82019CF3,28,213,-1009,140,389,0,
2023/11/07 15:55:10.470,82019CF3,29,213,-1004,143,391,0,
2023/11/07 15:55:11.494,82019CF3,30,210,-1007,146,387,0,
2023/11/07 15:55:12.483,82019CF3,31,213,-1001,140,386,0,
2023/11/07 15:55:13.476,82019CF3,32,213,-1004,144,390,0,
2023/11/07 15:55:14.469,82019CF3,33,213,-1006,146,398,0,
2023/11/07 15:55:15.471,82019CF3,34,213,-1006,146,387,0,
2023/11/07 15:55:16.464,82019CF3,35,213,-1003,144,388,0,
2023/11/07 15:55:17.457,82019CF3,36,213,-1003,145,386,0,
2023/11/07 15:55:18.450,82019CF3,37,213,-1005,146,389,0,
2023/11/07 15:55:19.443,82019CF3,38,213,-1008,146,392,0,
2023/11/07 15:55:20.435,82019CF3,39,213,-1010,142,387,0,
2023/11/07 15:55:21.435,82019CF3,40,213,-1004,143,383,0,
2023/11/07 15:55:22.434,82019CF3,41,213,-1007,143,386,0,
2023/11/07 15:55:23.437,82019CF3,42,213,-1004,145,383,0,
2023/11/07 15:55:25.422,82019CF3,44,213,-1006,144,386,0,
2023/11/07 15:55:26.428,82019CF3,45,213,-1006,147,383,0,
2023/11/07 15:55:27.422,82019CF3,46,213,-995,153,418,0,
2023/11/07 15:55:28.415,82019CF3,47,216,-1006,152,373,0,
2023/11/07 15:55:29.408,82019CF3,48,213,-1023,133,291,0,
2023/11/07 15:55:30.400,82019CF3,49,213,-1022,142,352,0,
2023/11/07 15:55:31.390,82019CF3,50,216,-1017,150,359,0,
2023/11/07 15:55:32.384,82019CF3,51,213,-1016,152,355,0,
2023/11/07 15:55:33.386,82019CF3,52,213,-1016,149,352,0,
2023/11/07 15:55:34.380,82019CF3,53,213,-1016,150,350,0,
2023/11/07 15:55:35.373,82019CF3,54,213,-1016,151,353,0,
2023/11/07 15:55:36.365,82019CF3,55,213,-1017,149,349,0,
