20230810_15:13:58.004,82019EBA,4196,213
20230810_15:13:58.006,820198C1,81,210
20230810_15:13:58.008,82019F2E,4118,213
20230810_15:13:58.009,82019EBA,4197,213
20230810_15:13:58.013,820198C1,82,210
20230810_15:13:58.016,82019F2E,4119,213
20230810_15:13:58.018,82019EBA,4198,213
20230810_15:13:58.021,82019F2E,4120,213
20230810_15:13:58.023,82019EBA,4199,213
20230810_15:13:58.028,82019F2E,4121,213
20230810_15:13:58.030,82019EBA,4200,213
20230810_15:13:58.032,82019F2E,4122,210
20230810_15:13:58.033,82019F2E,4123,210
20230810_15:13:58.036,820198C1,87,210
20230810_15:13:58.037,820198C1,88,210
20230810_15:13:58.039,82019F2E,4125,210
20230810_15:13:58.041,820198C1,89,210
20230810_15:13:58.046,82019F2E,4126,213
20230810_15:13:58.048,82019EBA,4205,213
20230810_15:13:58.049,82019F2E,4127,213
20230810_15:13:59.333,82019EBA,4206,216
20230810_15:13:59.334,82019F2E,4128,216
20230810_15:13:59.335,820198C1,92,213
20230810_15:13:59.337,82019EBA,4207,216
20230810_15:13:59.338,82019F2E,4129,216
20230810_15:13:59.343,82019EBA,4208,216
20230810_15:13:59.344,82019F2E,4130,213
20230810_15:13:59.347,82019EBA,4209,216
20230810_15:13:59.349,82019F2E,4131,216
20230810_15:13:59.350,82019EBA,4210,216
20230810_15:13:59.352,82019EBA,4211,219
20230810_15:13:59.353,820198C1,97,213
20230810_15:13:59.355,82019EBA,4212,219
20230810_15:13:59.356,820198C1,98,213
20230810_15:13:59.359,82019EBA,4213,219
20230810_15:13:59.360,820198C1,99,213
20230810_15:13:59.362,82019EBA,4214,216
20230810_15:13:59.363,820198C1,100,213
20230810_15:13:59.364,82019EBA,4215,216
20230810_15:13:59.366,820198C1,101,213
20230810_15:13:59.369,82019EBA,4216,216
20230810_15:13:59.371,820198C1,102,213
20230810_15:13:59.374,82019EBA,4217,216
20230810_15:13:59.376,820198C1,103,213
20230810_15:13:59.378,82019F2E,4139,213
20230810_15:13:59.379,82019EBA,4218,216
20230810_15:13:59.381,820198C1,104,213
20230810_15:13:59.382,82019EBA,4219,216
20230810_15:13:59.384,820198C1,105,213
20230810_15:13:59.386,82019F2E,4141,213
20230810_15:13:59.387,82019EBA,4220,219
20230810_15:13:59.389,820198C1,106,213
20230810_15:13:59.391,82019F2E,4142,213
20230810_15:13:59.393,82019EBA,4221,216
20230810_15:13:59.394,82019F2E,4143,216
20230810_15:13:59.396,82019EBA,4222,216
20230810_15:13:59.633,820198C1,108,210
20230810_15:13:59.633,82019F2E,4144,213
20230810_15:13:59.644,82019EBA,4223,216
20230810_15:13:59.646,820198C1,109,213
20230810_15:13:59.647,82019F2E,4145,213
20230810_15:13:59.650,82019EBA,4224,216
20230810_15:13:59.652,820198C1,110,213
20230810_15:13:59.654,82019F2E,4146,213
20230810_15:13:59.655,82019EBA,4225,216
20230810_15:13:59.658,82019F2E,4147,213
20230810_15:13:59.660,82019EBA,4226,216
20230810_15:14:01.692,82019F2E,4148,213
20230810_15:14:01.699,82019EBA,4227,213
20230810_15:14:01.705,82019F2E,4149,216
20230810_15:14:01.706,820198C1,114,210
20230810_15:14:01.709,82019F2E,4150,216
20230810_15:14:01.715,820198C1,115,213
20230810_15:14:01.716,82019F2E,4151,213
20230810_15:14:01.718,820198C1,116,213
20230810_15:14:01.720,82019F2E,4152,213
20230810_15:14:01.721,82019EBA,4231,216
20230810_15:14:01.723,82019F2E,4153,213
20230810_15:14:01.726,820198C1,118,213
20230810_15:14:01.729,82019EBA,4232,213
20230810_15:14:01.731,82019F2E,4154,207
20230810_15:14:01.733,820198C1,119,210
20230810_15:14:01.734,82019EBA,4233,216
20230810_15:14:01.735,82019F2E,4155,213
20230810_15:14:01.736,820198C1,120,210
20230810_15:14:01.738,82019EBA,4234,219
20230810_15:14:01.739,82019F2E,4156,216
20230810_15:14:01.741,820198C1,121,210
20230810_15:14:01.746,82019EBA,4235,216
20230810_15:14:01.747,82019F2E,4157,213
20230810_15:14:01.749,820198C1,122,210
20230810_15:14:01.752,82019EBA,4236,213
20230810_15:14:01.753,820198C1,123,210
20230810_15:14:01.755,82019EBA,4237,213
20230810_15:14:01.756,82019F2E,4159,210
20230810_15:14:01.760,820198C1,124,210
20230810_15:14:01.764,82019EBA,4238,213
20230810_15:14:01.765,82019F2E,4160,210
20230810_15:14:01.767,820198C1,125,210
20230810_15:14:01.768,82019EBA,4239,216
20230810_15:14:01.770,82019F2E,4161,213
20230810_15:14:01.772,820198C1,126,213
20230810_15:14:01.774,82019EBA,4240,216
20230810_15:14:01.780,82019F2E,4162,210
20230810_15:14:01.782,820198C1,127,210
20230810_15:14:01.784,82019EBA,4241,216
20230810_15:14:01.785,82019F2E,4163,210
20230810_15:14:01.789,820198C1,128,210
20230810_15:14:01.797,82019EBA,4242,216
20230810_15:14:01.799,82019F2E,4164,207
20230810_15:14:01.800,820198C1,129,210
20230810_15:14:01.802,82019EBA,4243,216
20230810_15:14:01.803,82019F2E,4165,210
20230810_15:14:01.805,82019EBA,4244,216
20230810_15:14:01.806,82019F2E,4166,210
20230810_15:14:01.809,820198C1,131,210
20230810_15:14:01.813,82019EBA,4245,213
20230810_15:14:01.814,82019F2E,4167,213
20230810_15:14:01.815,820198C1,132,210
20230810_15:14:01.817,82019EBA,4246,216
20230810_15:14:01.819,82019F2E,4168,213
20230810_15:14:01.820,820198C1,133,210
20230810_15:14:01.822,82019EBA,4247,213
20230810_15:14:01.823,82019F2E,4169,213
20230810_15:14:01.830,82019EBA,4248,213
20230810_15:14:01.831,82019F2E,4170,210
20230810_15:14:01.834,82019EBA,4249,216
20230810_15:14:01.836,82019F2E,4171,213
20230810_15:14:01.837,82019EBA,4250,210
20230810_15:14:01.839,82019F2E,4172,213
20230810_15:14:01.840,82019EBA,4251,210
20230810_15:14:01.843,820198C1,138,210
20230810_15:14:02.205,82019EBA,4252,213
20230810_15:14:02.212,82019EBA,4253,213
20230810_15:14:02.216,820198C1,141,210
20230810_15:14:02.219,820198C1,142,210
20230810_15:14:02.222,82019EBA,4256,216
20230810_15:14:02.225,820198C1,144,210
20230810_15:14:02.228,820198C1,145,213
20230810_15:14:02.744,82019EBA,4258,213
20230810_15:14:02.757,820198C1,146,210
20230810_15:14:02.758,82019EBA,4259,213
20230810_15:14:02.759,820198C1,147,213
20230810_15:14:02.761,82019EBA,4260,210
20230810_15:14:02.764,820198C1,148,210
20230810_15:14:02.765,82019EBA,4261,210
20230810_15:14:02.767,820198C1,149,210
20230810_15:14:02.769,82019F2E,4184,210
20230810_15:14:02.770,820198C1,150,210
20230810_15:14:02.772,820198C1,151,210
20230810_15:14:02.774,820198C1,152,210
20230810_15:14:03.677,820198C1,153,213
20230810_15:14:03.679,82019EBA,4266,213
20230810_15:14:03.680,820198C1,154,213
20230810_15:14:03.682,82019F2E,4189,213
20230810_15:14:03.683,820198C1,155,210
20230810_15:14:03.684,82019F2E,4190,213
20230810_15:14:03.686,82019F2E,4191,213
20230810_15:14:03.690,820198C1,157,213
20230810_15:14:03.692,82019F2E,4192,213
20230810_15:14:03.693,82019EBA,4270,213
20230810_15:14:03.695,820198C1,158,210
20230810_15:14:03.696,82019F2E,4193,216
20230810_15:14:03.699,820198C1,159,213
20230810_15:14:03.701,82019F2E,4194,213
20230810_15:14:03.703,820198C1,160,210
20230810_15:14:03.704,82019EBA,4273,210
20230810_15:14:03.706,820198C1,161,207
20230810_15:14:03.708,82019F2E,4196,213
20230810_15:14:03.710,82019EBA,4274,210
20230810_15:14:03.711,820198C1,162,207
20230810_15:14:03.713,82019F2E,4197,213
20230810_15:14:03.714,82019EBA,4275,210
20230810_15:14:03.716,820198C1,163,210
20230810_15:14:03.718,82019F2E,4198,210
20230810_15:14:10.818,82019EBA,4276,213
20230810_15:14:10.820,820198C1,164,210
20230810_15:14:10.821,82019F2E,4199,216
20230810_15:14:10.825,82019EBA,4277,213
20230810_15:14:10.827,820198C1,165,213
20230810_15:14:10.828,82019F2E,4200,210
20230810_15:14:10.830,82019EBA,4278,213
20230810_15:14:10.833,82019F2E,4201,213
20230810_15:14:10.834,82019EBA,4279,213
20230810_15:14:10.836,82019F2E,4202,213
20230810_15:14:10.838,820198C1,169,213
20230810_15:14:10.842,82019F2E,4204,213
20230810_15:14:10.844,820198C1,170,213
20230810_15:14:10.846,82019F2E,4205,213
20230810_15:14:10.847,820198C1,171,213
20230810_15:14:10.851,82019F2E,4206,213
20230810_15:14:10.854,82019EBA,4284,207
20230810_15:14:10.858,82019F2E,4207,213
20230810_15:14:10.862,82019EBA,4285,204
20230810_15:14:10.864,82019F2E,4208,213
20230810_15:14:10.866,82019EBA,4286,204
20230810_15:14:10.867,82019F2E,4209,213
20230810_15:14:10.869,82019EBA,4287,207
20230810_15:14:10.871,82019F2E,4210,219
20230810_15:14:10.874,82019EBA,4288,207
20230810_15:14:10.877,82019EBA,4289,207
20230810_15:14:10.878,820198C1,178,204
20230810_15:14:10.880,82019EBA,4290,207
20230810_15:14:10.882,820198C1,179,204
20230810_15:14:10.884,82019EBA,4291,204
20230810_15:14:10.886,820198C1,180,204
20230810_15:14:10.889,82019EBA,4292,207
20230810_15:14:10.893,820198C1,181,204
20230810_15:14:10.894,82019F2E,4215,213
20230810_15:14:10.895,82019EBA,4293,207
20230810_15:14:10.897,820198C1,182,204
20230810_15:14:10.899,82019F2E,4216,213
20230810_15:14:10.900,820198C1,183,204
20230810_15:14:10.901,82019F2E,4217,213
20230810_15:14:10.903,82019EBA,4295,204
20230810_15:14:10.904,820198C1,184,204
20230810_15:14:10.907,82019F2E,4218,213
20230810_15:14:10.910,82019EBA,4296,204
20230810_15:14:10.911,820198C1,185,204
20230810_15:14:10.913,82019F2E,4219,213
20230810_15:14:10.914,82019EBA,4297,204
20230810_15:14:10.916,820198C1,186,204
20230810_15:14:10.917,82019F2E,4220,213
20230810_15:14:10.918,82019EBA,4298,204
20230810_15:14:10.920,820198C1,187,204
20230810_15:14:10.921,82019F2E,4221,213
20230810_15:14:10.923,82019EBA,4299,204
20230810_15:14:10.926,820198C1,188,204
20230810_15:14:10.927,82019F2E,4222,213
20230810_15:14:10.929,82019EBA,4300,204
20230810_15:14:10.930,82019F2E,4223,213
20230810_15:14:10.931,82019EBA,4301,204
20230810_15:14:10.932,820198C1,190,201
20230810_15:14:10.933,82019F2E,4224,213
20230810_15:14:10.935,82019EBA,4302,207
20230810_15:14:10.936,820198C1,191,201
20230810_15:14:10.937,82019F2E,4225,210
20230810_15:14:10.939,82019EBA,4303,204
20230810_15:14:10.942,82019F2E,4226,213
20230810_15:14:10.944,82019EBA,4304,204
20230810_15:14:10.945,82019F2E,4227,213
20230810_15:14:10.946,82019EBA,4305,204
20230810_15:14:10.949,82019F2E,4228,210
20230810_15:14:10.950,82019EBA,4306,204
20230810_15:14:10.951,82019F2E,4229,213
20230810_15:14:10.953,820198C1,196,204
20230810_15:14:10.954,82019F2E,4230,210
20230810_15:14:10.955,820198C1,197,204
20230810_15:14:10.959,82019F2E,4231,210
20230810_15:14:10.960,820198C1,198,204
20230810_15:14:10.962,82019F2E,4232,213
20230810_15:14:10.964,820198C1,199,204
20230810_15:14:10.965,82019F2E,4233,213
20230810_15:14:10.966,820198C1,200,204
20230810_15:14:10.967,82019EBA,4311,204
20230810_15:14:10.968,82019F2E,4234,213
20230810_15:14:10.969,820198C1,201,204
