20230810_15:01:56.963,82019F2E,210
20230810_15:01:56.963,82019F2E,210
20230810_15:01:56.963,82019F2E,204
20230810_15:01:56.963,82019F2E,204
20230810_15:01:56.979,82019F2E,207
20230810_15:01:56.980,82019F2E,204
20230810_15:01:56.982,820198C1,192
20230810_15:01:56.984,820198C1,189
20230810_15:01:57.059,820198C1,192
20230810_15:01:58.013,82019F2E,204
20230810_15:01:58.015,820198C1,192
20230810_15:01:58.018,820198C1,192
20230810_15:01:58.020,820198C1,189
20230810_15:01:58.023,820198C1,186
20230810_15:01:58.025,820198C1,186
20230810_15:01:58.027,82019F2E,210
20230810_15:01:58.029,820198C1,186
20230810_15:01:58.030,82019F2E,207
20230810_15:01:58.032,820198C1,186
20230810_15:01:58.033,82019F2E,207
20230810_15:01:58.035,820198C1,186
20230810_15:01:58.037,82019F2E,207
20230810_15:01:58.038,820198C1,192
20230810_15:01:58.040,82019F2E,210
20230810_15:01:58.041,820198C1,189
20230810_15:01:58.044,82019F2E,207
20230810_15:01:58.045,820198C1,186
20230810_15:01:58.047,82019F2E,210
20230810_15:02:00.267,820198C1,186
20230810_15:02:00.272,82019F2E,207
20230810_15:02:00.274,820198C1,186
20230810_15:02:00.275,82019F2E,210
20230810_15:02:00.277,820198C1,186
20230810_15:02:00.280,82019F2E,210
20230810_15:02:00.282,820198C1,186
20230810_15:02:00.284,82019F2E,210
20230810_15:02:00.286,820198C1,189
20230810_15:02:00.288,82019F2E,207
20230810_15:02:00.290,820198C1,186
20230810_15:02:00.291,820198C1,192
20230810_15:02:00.293,82019F2E,210
20230810_15:02:00.295,820198C1,186
20230810_15:02:00.299,82019F2E,207
20230810_15:02:00.300,82019F2E,207
20230810_15:02:00.302,82019F2E,210
20230810_15:02:00.304,820198C1,192
20230810_15:02:00.306,82019F2E,207
20230810_15:02:00.308,820198C1,186
20230810_15:02:00.309,82019F2E,210
20230810_15:02:00.311,820198C1,186
20230810_15:02:00.315,82019F2E,207
20230810_15:02:00.317,820198C1,186
20230810_15:02:00.318,82019F2E,210
20230810_15:02:00.320,820198C1,189
20230810_15:02:00.322,82019F2E,210
20230810_15:02:00.323,82019F2E,210
20230810_15:02:00.324,820198C1,186
20230810_15:02:00.324,82019F2E,210
20230810_15:02:00.329,820198C1,186
20230810_15:02:00.332,820198C1,186
20230810_15:02:00.334,82019F2E,210
20230810_15:02:00.336,820198C1,186
20230810_15:02:00.337,82019F2E,207
20230810_15:02:00.339,820198C1,186
20230810_15:02:00.341,82019F2E,210
20230810_15:02:00.343,820198C1,186
20230810_15:02:00.345,82019F2E,210
20230810_15:02:00.349,820198C1,186
20230810_15:02:00.350,82019F2E,210
20230810_15:02:00.352,820198C1,186
20230810_15:02:00.353,82019F2E,210
20230810_15:02:00.355,820198C1,186
20230810_15:02:00.356,82019F2E,207
20230810_15:02:00.358,820198C1,186
20230810_15:02:00.359,82019F2E,210
20230810_15:02:00.361,820198C1,186
20230810_15:02:00.365,82019F2E,207
20230810_15:02:00.366,820198C1,186
20230810_15:02:00.368,82019F2E,210
20230810_15:02:01.399,820198C1,186
20230810_15:02:01.400,82019F2E,210
20230810_15:02:01.402,820198C1,189
20230810_15:02:01.404,82019F2E,207
20230810_15:02:01.406,820198C1,186
20230810_15:02:01.408,82019F2E,207
20230810_15:02:01.409,820198C1,186
20230810_15:02:01.411,82019F2E,210
20230810_15:02:01.413,820198C1,186
20230810_15:02:01.414,82019F2E,210
20230810_15:02:01.416,820198C1,189
20230810_15:02:01.418,82019F2E,207
20230810_15:02:01.420,820198C1,186
20230810_15:02:01.421,82019F2E,210
20230810_15:02:01.424,82019F2E,207
20230810_15:02:01.426,82019F2E,207
20230810_15:02:01.428,82019F2E,207
20230810_15:02:01.429,82019F2E,210
20230810_15:02:01.431,820198C1,189
20230810_15:02:01.433,82019F2E,207
20230810_15:02:01.472,820198C1,189
