time,tag,Number,LQI,xacc,yacc,zacc,pidata,
20231209_11:11:17.893,820198F4,1,93,Nan,Nan,Nan,Nan
20231209_11:11:18.900,820198F4,2,99,Nan,Nan,Nan,Nan
20231209_11:13:12.866,8201A33C,1,120,-332,56,-926,Nan
20231209_11:13:15.632,8201A33C,1,120,-202,653,-759,Nan
20231209_11:13:18.397,8201A33C,1,114,-243,499,-856,Nan
20231209_11:13:19.420,8201A33C,2,111,-240,530,-839,Nan
20231209_11:13:22.184,8201A33C,1,141,-517,273,-822,Nan
20231209_11:13:23.206,8201A33C,2,108,-555,358,-774,Nan
20231209_11:13:49.677,82019D40,1,141,112,-79,1042,Nan
20231209_11:14:05.485,82019EFE,1,132,0,-291,960,Nan
20231209_11:14:09.321,82019EFE,2,147,-544,60,745,Nan
20231209_11:14:10.361,82019EFE,3,144,-439,-161,910,Nan
20231209_11:14:13.158,82019EFE,1,99,-407,-424,850,Nan
20231209_11:14:25.706,82019EFE,1,138,-448,-542,762,Nan
