20231012_16:25:47.425,820198D4,1,180,0,
20231012_16:25:48.083,820198D4,2,180,0,
20231012_16:25:48.754,820198D4,3,183,0,
20231012_16:25:49.426,820198D4,4,183,0,
20231012_16:25:50.096,820198D4,5,183,0,
20231012_16:25:50.768,820198D4,6,180,0,
20231012_16:25:51.438,820198D4,7,177,0,
20231012_16:25:52.095,820198D4,8,180,0,
20231012_16:25:52.768,820198D4,9,177,0,
20231012_16:25:53.436,820198D4,10,177,0,
20231012_16:25:54.110,820198D4,11,174,0,
20231012_16:25:54.781,820198D4,12,171,0,
20231012_16:25:55.451,820198D4,13,171,0,
20231012_16:25:56.109,820198D4,14,156,0,
20231012_16:25:56.780,820198D4,15,156,0,
20231012_16:25:57.452,820198D4,16,156,0,
20231012_16:25:58.121,820198D4,17,159,0,
20231012_16:25:58.778,820198D4,18,111,0,
