時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧,piNo
2023/05/16 16:41:20.429,1,82019EBB,No Relay,816,156,2830,3
2023/05/16 16:41:20.429,1,82019EBB,No Relay,816,213,2830,6
2023/05/16 16:41:21.101,1,8201A0FF,No Relay,841,195,3050,6
2023/05/16 16:41:21.101,1,8201A0FF,No Relay,841,150,3050,3
2023/05/16 16:41:21.382,1,82019B41,No Relay,894,138,2940,3
2023/05/16 16:41:21.382,1,82019B41,No Relay,894,195,2940,6
2023/05/16 16:41:21.945,1,82019F0C,No Relay,828,159,3120,3
2023/05/16 16:41:22.007,1,82019F0C,No Relay,828,168,3120,6
2023/05/16 16:41:22.007,1,82019CFB,No Relay,881,171,2690,3
2023/05/16 16:41:22.007,1,82019CFB,No Relay,881,177,2690,6
2023/05/16 16:41:22.007,1,82019543,No Relay,899,171,2880,3
2023/05/16 16:41:22.148,1,82019543,No Relay,899,210,2880,6
2023/05/16 16:41:22.257,1,82019A5C,No Relay,821,174,3050,3
2023/05/16 16:41:22.257,1,82019A5C,No Relay,821,177,3050,6
2023/05/16 16:41:23.133,1,82018DBB,No Relay,843,192,2960,6
2023/05/16 16:41:23.133,1,82018DBB,No Relay,843,156,2960,3
2023/05/16 16:41:23.273,1,82019EBB,No Relay,817,141,2830,3
2023/05/16 16:41:23.320,1,82019EBB,No Relay,817,219,2830,6
2023/05/16 16:41:23.883,1,8201A0FF,No Relay,842,195,3050,6
2023/05/16 16:41:23.883,1,8201A0FF,No Relay,842,156,3050,3
2023/05/16 16:41:24.086,1,82019B41,No Relay,895,156,2940,3
2023/05/16 16:41:24.086,1,82019B41,No Relay,895,198,2940,6
2023/05/16 16:41:24.445,1,82019CFB,No Relay,882,162,2690,3
2023/05/16 16:41:24.445,1,82019CFB,No Relay,882,174,2690,6
2023/05/16 16:41:24.570,1,82019543,No Relay,900,210,2880,6
2023/05/16 16:41:24.586,1,82019543,No Relay,900,162,2880,3
2023/05/16 16:41:24.804,1,82019A5C,No Relay,822,174,3050,3
2023/05/16 16:41:24.898,1,82019C9E,No Relay,842,183,2980,6
2023/05/16 16:41:24.976,1,82019C9E,No Relay,842,132,2980,3
2023/05/16 16:41:25.086,1,82019CF3,No Relay,807,171,2685,3
2023/05/16 16:41:25.086,1,82019CF3,No Relay,807,183,2685,6
2023/05/16 16:41:25.680,1,82019EBB,No Relay,818,216,2840,6
2023/05/16 16:41:25.976,1,82018DBB,No Relay,844,192,2940,6
2023/05/16 16:41:25.992,1,82018DBB,No Relay,844,147,2940,3
2023/05/16 16:41:26.492,1,8201A0FF,No Relay,843,195,3050,6
2023/05/16 16:41:26.758,1,82019B41,No Relay,896,195,2940,6
2023/05/16 16:41:26.758,1,82019B41,No Relay,896,162,2940,3
2023/05/16 16:41:27.117,1,82019F0C,No Relay,830,159,3130,6
2023/05/16 16:41:27.258,1,82019A5C,No Relay,823,171,3050,3
2023/05/16 16:41:27.351,1,82019A5C,No Relay,823,180,3050,6
2023/05/16 16:41:27.523,1,82019543,No Relay,901,207,2880,6
2023/05/16 16:41:27.867,1,82019CF3,No Relay,808,171,2690,3
2023/05/16 16:41:27.867,1,82019CF3,No Relay,808,180,2690,6
2023/05/16 16:41:28.055,1,82019EBB,No Relay,819,150,2830,3
2023/05/16 16:41:28.055,1,82019EBB,No Relay,819,216,2830,6
2023/05/16 16:41:29.133,1,8201A0FF,No Relay,844,195,3050,6
2023/05/16 16:41:29.195,1,82019B41,No Relay,897,159,2940,3
2023/05/16 16:41:29.336,1,82019B41,No Relay,897,195,2940,6
2023/05/16 16:41:29.898,1,82019CFB,No Relay,884,168,2690,3
2023/05/16 16:41:29.898,1,82019543,No Relay,902,168,2880,3
2023/05/16 16:41:29.930,1,82019CFB,No Relay,884,171,2690,6
2023/05/16 16:41:29.945,1,82019543,No Relay,902,207,2880,6
2023/05/16 16:41:30.039,1,82019C9E,No Relay,844,183,2980,6
2023/05/16 16:41:30.086,1,82019A5C,No Relay,824,159,3050,3
2023/05/16 16:41:30.101,1,82019A5C,No Relay,824,177,3050,6
2023/05/16 16:41:30.508,1,82019CF3,No Relay,809,171,2690,3
2023/05/16 16:41:30.851,1,82019EBB,No Relay,820,150,2830,3
2023/05/16 16:41:30.871,1,82019EBB,No Relay,820,213,2830,6
2023/05/16 16:41:31.459,1,82018DBB,No Relay,846,189,2950,6
2023/05/16 16:41:31.725,1,8201A0FF,No Relay,845,195,3050,6
2023/05/16 16:41:31.725,1,8201A0FF,No Relay,845,153,3050,3
2023/05/16 16:41:31.944,1,82019B41,No Relay,898,195,2940,6
2023/05/16 16:41:31.959,1,82019B41,No Relay,898,156,2940,3
2023/05/16 16:41:32.366,1,82019CFB,No Relay,885,168,2690,3
2023/05/16 16:41:32.381,1,82019CFB,No Relay,885,171,2690,6
2023/05/16 16:41:32.459,1,82019A5C,No Relay,825,177,3050,6
2023/05/16 16:41:32.475,1,82019A5C,No Relay,825,177,3050,3
2023/05/16 16:41:32.600,1,82019C9E,No Relay,845,183,2980,6
2023/05/16 16:41:32.616,1,82019C9E,No Relay,845,144,2980,3
