時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧,piNo
2023/05/12 17:39:43.076,1,82019CF3,No Relay,59,147,3000,6
2023/05/12 17:39:43.079,1,82019CF3,No Relay,59,186,3000,3
2023/05/12 17:39:44.429,1,820198C1,No Relay,60,195,3140,6
2023/05/12 17:39:44.429,1,820198C1,No Relay,60,192,3140,3
2023/05/12 17:39:45.605,1,82019CF3,No Relay,60,147,2980,6
2023/05/12 17:39:45.609,1,82019CF3,No Relay,60,186,2980,3
2023/05/12 17:39:46.972,1,82019F2E,No Relay,61,99,2500,6
2023/05/12 17:39:46.972,1,82019F2E,No Relay,61,87,2500,3
2023/05/12 17:39:48.102,1,82019CF3,No Relay,61,150,2980,6
2023/05/12 17:39:49.760,1,820198C1,No Relay,62,195,3150,6
2023/05/12 17:39:50.635,1,82019CF3,No Relay,62,186,2980,3
2023/05/12 17:39:52.327,1,820198C1,No Relay,63,198,3140,6
2023/05/12 17:39:52.327,1,820198C1,No Relay,63,192,3140,3
2023/05/12 17:39:53.430,1,82019CF3,No Relay,63,150,2980,6
2023/05/12 17:39:53.449,1,82019CF3,No Relay,63,183,2980,3
2023/05/12 17:39:54.733,1,820198C1,No Relay,64,198,3150,6
2023/05/12 17:39:56.217,1,82019CF3,No Relay,64,186,2980,3
2023/05/12 17:39:56.217,1,82019CF3,No Relay,64,147,2980,6
2023/05/12 17:39:57.271,1,820198C1,No Relay,65,195,3140,6
2023/05/12 17:39:57.285,1,820198C1,No Relay,65,192,3140,3
2023/05/12 17:39:59.040,1,82019F2E,No Relay,1,102,2960,6
2023/05/12 17:39:59.040,1,82019F2E,No Relay,1,105,2960,3
2023/05/12 17:40:00.153,1,820198C1,No Relay,66,192,3140,3
2023/05/12 17:40:01.845,1,82019F2E,No Relay,2,132,2970,6
2023/05/12 17:40:01.845,1,82019F2E,No Relay,2,138,2970,3
2023/05/12 17:40:03.023,1,820198C1,No Relay,67,198,3140,6
2023/05/12 17:40:03.911,1,82019CF3,No Relay,67,183,2980,3
2023/05/12 17:40:03.927,1,82019CF3,No Relay,67,150,2980,6
2023/05/12 17:40:04.367,1,82019F2E,No Relay,3,147,2970,6
2023/05/12 17:40:05.829,1,820198C1,No Relay,68,198,3150,6
2023/05/12 17:40:06.309,1,82019CF3,No Relay,68,144,2980,6
2023/05/12 17:40:06.324,1,82019CF3,No Relay,68,183,2980,3
2023/05/12 17:40:07.281,1,82019F2E,No Relay,4,228,2970,3
2023/05/12 17:40:08.615,1,820198C1,No Relay,69,192,3150,3
2023/05/12 17:40:08.615,1,820198C1,No Relay,69,198,3150,6
2023/05/12 17:40:11.771,1,82019CF3,No Relay,70,186,2980,3
2023/05/12 17:40:11.773,1,82019CF3,No Relay,70,153,2980,6
2023/05/12 17:40:12.938,1,82019F2E,No Relay,6,180,2970,6
2023/05/12 17:40:12.938,1,82019F2E,No Relay,6,201,2970,3
2023/05/12 17:40:14.222,1,82019CF3,No Relay,71,153,2980,6
2023/05/12 17:40:14.229,1,82019CF3,No Relay,71,186,2980,3
2023/05/12 17:40:15.885,1,82019F2E,No Relay,7,183,2970,6
2023/05/12 17:40:15.904,1,82019F2E,No Relay,7,201,2970,3
2023/05/12 17:40:16.752,1,82019CF3,No Relay,72,153,2980,6
2023/05/12 17:40:16.752,1,82019CF3,No Relay,72,186,2980,3
2023/05/12 17:40:17.256,1,820198C1,No Relay,72,195,3140,6
2023/05/12 17:40:17.266,1,820198C1,No Relay,72,192,3140,3
2023/05/12 17:40:18.362,1,82019F2E,No Relay,8,183,2970,6
2023/05/12 17:40:18.362,1,82019F2E,No Relay,8,201,2970,3
2023/05/12 17:40:20.914,1,82019F2E,No Relay,9,183,2970,6
2023/05/12 17:40:20.914,1,82019F2E,No Relay,9,201,2970,3
2023/05/12 17:40:23.680,1,82019F2E,No Relay,10,201,2970,3
2023/05/12 17:40:26.500,1,82019F2E,No Relay,11,201,2970,3
2023/05/12 17:40:26.501,1,82019F2E,No Relay,11,186,2970,6
2023/05/12 17:40:27.284,1,82019CF3,No Relay,76,183,2980,3
2023/05/12 17:40:27.378,1,82019CF3,No Relay,76,156,2980,6
2023/05/12 17:40:27.489,1,820198C1,No Relay,76,189,3150,3
2023/05/12 17:40:27.505,1,820198C1,No Relay,76,198,3150,6
2023/05/12 17:40:28.892,1,82019F2E,No Relay,12,201,2970,3
2023/05/12 17:40:28.918,1,82019F2E,No Relay,12,183,2970,6
2023/05/12 17:40:30.074,1,82019CF3,No Relay,77,153,2980,6
2023/05/12 17:40:30.077,1,82019CF3,No Relay,77,186,2980,3
2023/05/12 17:40:30.268,1,820198C1,No Relay,77,192,3140,3
2023/05/12 17:40:30.280,1,820198C1,No Relay,77,198,3140,6
2023/05/12 17:40:31.695,1,82019F2E,No Relay,13,180,2970,6
2023/05/12 17:40:31.697,1,82019F2E,No Relay,13,201,2970,3
2023/05/12 17:40:32.731,1,82019CF3,No Relay,78,144,2980,6
2023/05/12 17:40:32.900,1,820198C1,No Relay,78,189,3150,3
2023/05/12 17:40:32.916,1,820198C1,No Relay,78,198,3150,6
2023/05/12 17:40:34.212,1,82019F2E,No Relay,14,201,2970,3
2023/05/12 17:40:34.228,1,82019F2E,No Relay,14,183,2970,6
2023/05/12 17:40:35.335,1,820198C1,No Relay,79,198,3150,6
2023/05/12 17:40:35.343,1,820198C1,No Relay,79,186,3150,3
2023/05/12 17:40:35.594,1,82019CF3,No Relay,79,183,2980,3
2023/05/12 17:40:37.147,1,82019F2E,No Relay,15,183,2970,6
2023/05/12 17:40:37.148,1,82019F2E,No Relay,15,201,2970,3
2023/05/12 17:40:37.776,1,820198C1,No Relay,80,198,3140,6
2023/05/12 17:40:37.791,1,820198C1,No Relay,80,192,3140,3
2023/05/12 17:40:39.913,1,82019F2E,No Relay,16,201,2970,3
2023/05/12 17:40:39.915,1,82019F2E,No Relay,16,183,2970,6
2023/05/12 17:40:40.419,1,82019CF3,No Relay,81,150,2980,6
2023/05/12 17:40:40.419,1,82019CF3,No Relay,81,186,2980,3
2023/05/12 17:40:42.388,1,82019F2E,No Relay,17,183,2970,6
2023/05/12 17:40:42.400,1,82019F2E,No Relay,17,201,2970,3
2023/05/12 17:40:43.247,1,82019CF3,No Relay,82,186,2980,3
2023/05/12 17:40:43.247,1,82019CF3,No Relay,82,150,2980,6
2023/05/12 17:40:45.105,1,82019F2E,No Relay,18,183,2970,6
2023/05/12 17:40:45.105,1,82019F2E,No Relay,18,201,2970,3
2023/05/12 17:40:45.921,1,820198C1,No Relay,83,198,3140,6
2023/05/12 17:40:47.839,1,82019F2E,No Relay,19,201,2970,3
2023/05/12 17:40:47.855,1,82019F2E,No Relay,19,183,2970,6
2023/05/12 17:40:48.376,1,82019CF3,No Relay,84,186,2980,3
2023/05/12 17:40:48.376,1,82019CF3,No Relay,84,150,2980,6
2023/05/12 17:40:48.565,1,820198C1,No Relay,84,192,3140,3
2023/05/12 17:40:48.580,1,820198C1,No Relay,84,198,3140,6
2023/05/12 17:40:50.267,1,82019F2E,No Relay,20,201,2970,3
2023/05/12 17:40:50.267,1,82019F2E,No Relay,20,180,2970,6
2023/05/12 17:40:51.131,1,82019CF3,No Relay,85,150,2980,6
2023/05/12 17:40:51.225,1,82019CF3,No Relay,85,186,2980,3
2023/05/12 17:40:52.774,1,82019F2E,No Relay,21,183,2970,6
2023/05/12 17:40:52.799,1,82019F2E,No Relay,21,201,2970,3
