時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧,piNo
2022/10/08 10:51:39.651,1,820198E4,No Relay,18,42,3140,3
2022/10/08 10:51:39.664,1,820198E4,No Relay,18,99,3140,5
2022/10/08 10:51:42.391,1,820198E4,No Relay,19,120,3140,2
2022/10/08 10:51:42.399,1,820198E4,No Relay,19,105,3140,3
2022/10/08 10:51:42.399,1,820198E4,No Relay,19,105,3140,5
2022/10/08 10:51:42.769,1,82019EFE,No Relay,21,96,3150,2
2022/10/08 10:51:42.783,1,82019EFE,No Relay,21,132,3150,5
2022/10/08 10:51:44.926,1,820198E4,No Relay,20,66,3140,3
2022/10/08 10:51:44.932,1,820198E4,No Relay,20,105,3140,2
2022/10/08 10:51:44.939,1,820198E4,No Relay,20,132,3140,5
2022/10/08 10:51:45.596,1,82019EFE,No Relay,22,141,3150,3
2022/10/08 10:51:45.598,1,82019EFE,No Relay,22,117,3150,2
2022/10/08 10:51:47.314,1,820198E4,No Relay,21,78,3140,2
2022/10/08 10:51:47.321,1,820198E4,No Relay,21,102,3140,3
2022/10/08 10:51:47.322,1,820198E4,No Relay,21,123,3140,5
2022/10/08 10:51:48.268,1,82019EFE,No Relay,23,102,3160,2
2022/10/08 10:51:48.280,1,82019EFE,No Relay,23,135,3160,3
2022/10/08 10:51:48.294,1,82019EFE,No Relay,23,135,3160,5
2022/10/08 10:51:50.142,1,820198E4,No Relay,22,90,3140,2
2022/10/08 10:51:50.150,1,820198E4,No Relay,22,96,3140,3
2022/10/08 10:51:50.967,1,82019EFE,No Relay,24,132,3150,3
2022/10/08 10:51:50.968,1,82019EFE,No Relay,24,108,3150,2
2022/10/08 10:51:50.980,1,82019EFE,No Relay,24,135,3150,5
2022/10/08 10:51:52.517,1,820198E4,No Relay,23,90,3140,3
2022/10/08 10:51:52.523,1,820198E4,No Relay,23,84,3140,2
2022/10/08 10:51:52.531,1,820198E4,No Relay,23,138,3140,5
2022/10/08 10:51:53.636,1,82019EFE,No Relay,25,123,3150,3
2022/10/08 10:51:53.637,1,82019EFE,No Relay,25,93,3150,2
2022/10/08 10:51:53.647,1,82019EFE,No Relay,25,135,3150,5
2022/10/08 10:51:54.961,1,820198E4,No Relay,24,126,3140,5
2022/10/08 10:51:56.227,1,82019EFE,No Relay,26,111,3150,2
2022/10/08 10:51:56.237,1,82019EFE,No Relay,26,126,3150,5
2022/10/08 10:51:56.240,1,82019EFE,No Relay,26,126,3150,3
2022/10/08 10:51:57.798,1,820198E4,No Relay,25,108,3140,2
2022/10/08 10:51:57.820,1,820198E4,No Relay,25,126,3140,5
2022/10/08 10:51:58.767,1,82019EFE,No Relay,27,135,3150,3
2022/10/08 10:51:58.768,1,82019EFE,No Relay,27,105,3150,2
2022/10/08 10:51:58.777,1,82019EFE,No Relay,27,135,3150,5
2022/10/08 10:52:00.451,1,820198E4,No Relay,26,108,3140,2
2022/10/08 10:52:00.458,1,820198E4,No Relay,26,108,3140,3
2022/10/08 10:52:00.473,1,820198E4,No Relay,26,132,3140,5
2022/10/08 10:52:01.565,1,82019EFE,No Relay,28,126,3150,3
2022/10/08 10:52:01.572,1,82019EFE,No Relay,28,111,3150,5
2022/10/08 10:52:03.071,1,820198E4,No Relay,27,96,3140,2
2022/10/08 10:52:03.079,1,820198E4,No Relay,27,93,3140,3
2022/10/08 10:52:03.094,1,820198E4,No Relay,27,117,3140,5
2022/10/08 10:52:04.378,1,82019EFE,No Relay,29,111,3150,2
2022/10/08 10:52:04.399,1,82019EFE,No Relay,29,114,3150,5
2022/10/08 10:52:05.643,1,820198E4,No Relay,28,102,3140,2
2022/10/08 10:52:05.651,1,820198E4,No Relay,28,78,3140,3
2022/10/08 10:52:05.653,1,820198E4,No Relay,28,114,3140,5
2022/10/08 10:52:06.839,1,82019EFE,No Relay,30,108,3150,3
2022/10/08 10:52:06.840,1,82019EFE,No Relay,30,102,3150,2
2022/10/08 10:52:06.859,1,82019EFE,No Relay,30,129,3150,5
2022/10/08 10:52:08.089,1,820198E4,No Relay,29,108,3140,2
2022/10/08 10:52:08.096,1,820198E4,No Relay,29,111,3140,3
2022/10/08 10:52:08.098,1,820198E4,No Relay,29,132,3140,5
2022/10/08 10:52:09.238,1,82019EFE,No Relay,31,90,3150,2
2022/10/08 10:52:09.252,1,82019EFE,No Relay,31,123,3150,3
2022/10/08 10:52:10.607,1,820198E4,No Relay,30,132,3140,5
2022/10/08 10:52:11.923,1,82019EFE,No Relay,32,120,3160,3
2022/10/08 10:52:11.940,1,82019EFE,No Relay,32,132,3160,5
2022/10/08 10:52:13.043,1,820198E4,No Relay,31,108,3140,2
2022/10/08 10:52:13.051,1,820198E4,No Relay,31,111,3140,3
2022/10/08 10:52:13.053,1,820198E4,No Relay,31,132,3140,5
2022/10/08 10:52:14.623,1,82019EFE,No Relay,33,114,3150,3
2022/10/08 10:52:14.625,1,82019EFE,No Relay,33,132,3150,5
2022/10/08 10:52:15.631,1,820198E4,No Relay,32,102,3140,2
2022/10/08 10:52:15.639,1,820198E4,No Relay,32,111,3140,3
2022/10/08 10:52:15.642,1,820198E4,No Relay,32,132,3140,5
2022/10/08 10:52:17.341,1,82019EFE,No Relay,34,105,3150,2
2022/10/08 10:52:17.356,1,82019EFE,No Relay,34,114,3150,3
2022/10/08 10:52:17.357,1,82019EFE,No Relay,34,129,3150,5
2022/10/08 10:52:18.487,1,820198E4,No Relay,33,141,3140,5
2022/10/08 10:52:20.042,1,82019EFE,No Relay,35,84,3150,3
2022/10/08 10:52:21.011,1,820198E4,No Relay,34,99,3140,3
2022/10/08 10:52:21.016,1,820198E4,No Relay,34,99,3140,2
2022/10/08 10:52:21.027,1,820198E4,No Relay,34,123,3140,5
2022/10/08 10:52:23.575,1,820198E4,No Relay,35,114,3140,2
2022/10/08 10:52:23.583,1,820198E4,No Relay,35,102,3140,3
2022/10/08 10:52:23.599,1,820198E4,No Relay,35,132,3140,5
2022/10/08 10:52:25.154,1,82019EFE,No Relay,37,141,3160,5
2022/10/08 10:52:26.369,1,820198E4,No Relay,36,99,3140,2
2022/10/08 10:52:26.380,1,820198E4,No Relay,36,141,3140,5
2022/10/08 10:52:28.001,1,82019EFE,No Relay,38,99,3150,2
2022/10/08 10:52:28.003,1,82019EFE,No Relay,38,75,3150,3
2022/10/08 10:52:28.014,1,82019EFE,No Relay,38,135,3150,5
2022/10/08 10:52:29.207,1,820198E4,No Relay,37,51,3140,3
2022/10/08 10:52:29.210,1,820198E4,No Relay,37,132,3140,5
2022/10/08 10:52:30.461,1,82019EFE,No Relay,39,93,3150,2
2022/10/08 10:52:30.464,1,82019EFE,No Relay,39,84,3150,3
2022/10/08 10:52:30.473,1,82019EFE,No Relay,39,132,3150,5
2022/10/08 10:52:31.756,1,820198E4,No Relay,38,84,3140,2
2022/10/08 10:52:31.764,1,820198E4,No Relay,38,102,3140,3
2022/10/08 10:52:31.767,1,820198E4,No Relay,38,132,3140,5
2022/10/08 10:52:33.020,1,82019EFE,No Relay,40,75,3150,2
2022/10/08 10:52:33.023,1,82019EFE,No Relay,40,84,3150,3
2022/10/08 10:52:33.031,1,82019EFE,No Relay,40,132,3150,5
2022/10/08 10:52:34.377,1,820198E4,No Relay,39,75,3140,2
2022/10/08 10:52:34.384,1,820198E4,No Relay,39,105,3140,3
2022/10/08 10:52:34.388,1,820198E4,No Relay,39,141,3140,5
2022/10/08 10:52:35.607,1,82019EFE,No Relay,41,108,3150,2
2022/10/08 10:52:35.611,1,82019EFE,No Relay,41,69,3150,3
2022/10/08 10:52:35.617,1,82019EFE,No Relay,41,135,3150,5
2022/10/08 10:52:37.994,1,82019EFE,No Relay,42,84,3150,3
2022/10/08 10:52:38.013,1,82019EFE,No Relay,42,135,3150,5
2022/10/08 10:52:39.651,1,820198E4,No Relay,41,102,3140,2
2022/10/08 10:52:39.659,1,820198E4,No Relay,41,108,3140,3
2022/10/08 10:52:39.663,1,820198E4,No Relay,41,138,3140,5
2022/10/08 10:52:40.634,1,82019EFE,No Relay,43,135,3150,5
2022/10/08 10:52:42.048,1,820198E4,No Relay,42,87,3140,2
2022/10/08 10:52:42.056,1,820198E4,No Relay,42,99,3140,3
2022/10/08 10:52:42.060,1,820198E4,No Relay,42,141,3140,5
2022/10/08 10:52:43.025,1,82019EFE,No Relay,44,93,3150,2
2022/10/08 10:52:43.029,1,82019EFE,No Relay,44,66,3150,3
2022/10/08 10:52:44.470,1,820198E4,No Relay,43,99,3140,3
2022/10/08 10:52:44.476,1,820198E4,No Relay,43,93,3140,2
2022/10/08 10:52:44.488,1,820198E4,No Relay,43,141,3140,5
2022/10/08 10:52:45.725,1,82019EFE,No Relay,45,78,3150,2
2022/10/08 10:52:47.001,1,820198E4,No Relay,44,105,3140,2
2022/10/08 10:52:47.009,1,820198E4,No Relay,44,111,3140,3
2022/10/08 10:52:47.014,1,820198E4,No Relay,44,141,3140,5
2022/10/08 10:52:48.176,1,82019EFE,No Relay,46,75,3150,3
2022/10/08 10:52:48.190,1,82019EFE,No Relay,46,135,3150,5
2022/10/08 10:52:49.751,1,820198E4,No Relay,45,105,3140,2
2022/10/08 10:52:49.759,1,820198E4,No Relay,45,105,3140,3
2022/10/08 10:52:49.764,1,820198E4,No Relay,45,138,3140,5
2022/10/08 10:52:50.600,1,82019EFE,No Relay,47,96,3150,2
2022/10/08 10:52:50.606,1,82019EFE,No Relay,47,102,3150,3
2022/10/08 10:52:52.332,1,820198E4,No Relay,46,105,3140,3
2022/10/08 10:52:52.338,1,820198E4,No Relay,46,111,3140,2
2022/10/08 10:52:52.352,1,820198E4,No Relay,46,132,3140,5
2022/10/08 10:52:53.222,1,82019EFE,No Relay,48,72,3150,2
2022/10/08 10:52:53.227,1,82019EFE,No Relay,48,84,3150,3
2022/10/08 10:52:53.239,1,82019EFE,No Relay,48,132,3150,5
2022/10/08 10:52:54.913,1,820198E4,No Relay,47,93,3140,2
2022/10/08 10:52:54.920,1,820198E4,No Relay,47,93,3140,3
2022/10/08 10:52:54.926,1,820198E4,No Relay,47,144,3140,5
