time,pino,tagid
2022-10-08 11:51:16,1.0,82019C62
2022-10-08 11:51:18,1.0,82019C62
2022-10-08 11:51:20,1.0,82019C62
2022-10-08 11:51:22,1.0,82019C62
2022-10-08 11:51:24,1.0,82019C62
2022-10-08 11:51:26,1.0,82019C62
2022-10-08 11:51:28,1.0,82019C62
2022-10-08 11:51:30,1.0,82019C62
2022-10-08 11:51:32,1.0,82019C62
2022-10-08 11:51:34,1.0,82019C62
2022-10-08 11:51:36,1.0,82019C62
2022-10-08 11:51:38,1.0,82019C62
2022-10-08 11:51:40,1.0,82019C62
2022-10-08 11:51:42,1.0,82019C62
2022-10-08 11:51:44,1.0,82019C62
2022-10-08 11:51:46,1.0,82019C62
2022-10-08 11:51:48,1.0,82019C62
2022-10-08 11:51:50,1.0,82019C62
2022-10-08 11:51:52,3.0,82019C62
2022-10-08 11:51:54,3.0,82019C62
2022-10-08 11:51:56,3.0,82019C62
2022-10-08 11:51:58,3.0,82019C62
2022-10-08 11:52:00,3.0,82019C62
2022-10-08 11:52:02,3.0,82019C62
2022-10-08 11:52:04,3.0,82019C62
2022-10-08 11:52:06,3.0,82019C62
2022-10-08 11:52:08,3.0,82019C62
2022-10-08 11:52:10,3.0,82019C62
2022-10-08 11:52:12,3.0,82019C62
2022-10-08 11:52:14,3.0,82019C62
2022-10-08 11:52:16,3.0,82019C62
2022-10-08 11:52:18,3.0,82019C62
2022-10-08 11:52:20,3.0,82019C62
2022-10-08 11:52:22,3.0,82019C62
2022-10-08 11:52:24,3.0,82019C62
2022-10-08 11:52:26,3.0,82019C62
2022-10-08 11:52:28,3.0,82019C62
2022-10-08 11:52:30,3.0,82019C62
2022-10-08 11:52:32,3.0,82019C62
2022-10-08 11:52:34,3.0,82019C62
2022-10-08 11:52:36,3.0,82019C62
2022-10-08 11:52:38,3.0,82019C62
2022-10-08 11:52:40,3.0,82019C62
2022-10-08 11:52:42,3.0,82019C62
2022-10-08 11:52:44,3.0,82019C62
2022-10-08 11:52:46,3.0,82019C62
2022-10-08 11:52:48,3.0,82019C62
2022-10-08 11:52:50,1.0,82019C62
2022-10-08 11:52:52,1.0,82019C62
2022-10-08 11:52:54,1.0,82019C62
2022-10-08 11:52:56,1.0,82019C62
2022-10-08 11:52:58,1.0,82019C62
2022-10-08 11:53:00,1.0,82019C62
2022-10-08 11:53:02,1.0,82019C62
2022-10-08 11:53:04,1.0,82019C62
2022-10-08 11:53:06,1.0,82019C62
2022-10-08 11:53:08,1.0,82019C62
2022-10-08 11:53:10,1.0,82019C62
2022-10-08 11:53:12,3.0,82019C62
2022-10-08 11:53:14,3.0,82019C62
2022-10-08 11:53:16,3.0,82019C62
2022-10-08 11:53:18,3.0,82019C62
2022-10-08 11:53:20,3.0,82019C62
2022-10-08 11:53:22,3.0,82019C62
2022-10-08 11:53:24,3.0,82019C62
2022-10-08 11:53:26,3.0,82019C62
2022-10-08 11:53:28,3.0,82019C62
2022-10-08 11:53:30,3.0,82019C62
2022-10-08 11:53:32,3.0,82019C62
2022-10-08 11:53:34,1.0,82019C62
2022-10-08 11:53:36,1.0,82019C62
2022-10-08 11:53:38,1.0,82019C62
2022-10-08 11:53:40,1.0,82019C62
2022-10-08 11:53:42,1.0,82019C62
2022-10-08 11:53:44,1.0,82019C62
2022-10-08 11:53:46,1.0,82019C62
2022-10-08 11:53:48,1.0,82019C62
2022-10-08 11:53:50,1.0,82019C62
2022-10-08 11:53:52,1.0,82019C62
2022-10-08 11:53:54,1.0,82019C62
2022-10-08 11:53:56,1.0,82019C62
2022-10-08 11:53:58,1.0,82019C62
2022-10-08 11:54:00,1.0,82019C62
2022-10-08 11:54:02,1.0,82019C62
2022-10-08 11:54:04,1.0,82019C62
2022-10-08 11:54:06,1.0,82019C62
